synonyymit|hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1|Sarake2|Sarake3|Sarake4|Sarake5|Sarake6|||||
|valged I|valge/d ~ -i, -dan, -dad; -d'id; (Lm) valge/i ~ vauge/i, -dan, -dad|a.||белый|valkea, valkoinen, valoisa|valgei külü ||баня по-белому|savuton sauna|||||||||||
|valged I||a.||||(Lm) valgei hebo||белая лошадь|valkoinen hevonen|||||||||||
|valged I||a.||||(Lm) valgedad hebod||белые лошади|valkoiset hevoset|||||||||||
|valged I||a.||||(Lm) vaugedad üöd||белые ночи|valoisat yöt|||||||||||
|nämäd|nämäd ~ nämä ~ nämmä (LMS 276), nämiden, nämid|pron. mon.||эти|nämä|ei nämä sündütä||эти не влезуть|nämä eivät mahdu|||||||||||
|nämäd||pron. mon.||||minä en t'ieda nämid sanuoid ~ sanoid ||я не знаю этих слов|minä en tiedä näitä sanoja|||||||||||
|kruušk|kruušk/e, -an, -ad |s.||кружка|muki; tuoppi, kolpakko|||||||||||||||
|torelk|torelk/e, -an, -ad|s.||тарелка|lautanen|||||||||||||||
|kaks'|kaks ~ (V, Pv) kaks'i ~ (TP) kaksi, kahten, kahte;  (SP) ka/ks'i, -hten, -htu; (Ka) kaks'|num.||два|kaksi|kaks d'ielod ||два дела |kaksi asiaa|||||||||||
|kaks'||num.||||kaksi häkkid ||два быка|kaksi härkää|||||||||||
|kaks'||num.||||(Ka) minul on kaks' poigad||у меня два сына|minulla on kaksi poikaa |||||||||||
|kaks'tošt|kaks/tošt(e), kahten/tošt(e), kahte/tošt(e); (Pv) kaks'/tošt, kahten/tošt, kaht/tošt; (V) kaks'i/toš, kahten/toš|num. yhd.||||||||||||||||||
|kaks'kümment|kaks/kümen, kahten/kümmenen, kahte/kümmente ~ kaht/kümmend; (Pv) kaks'/kümen; (V) kaks'/küme, kahten/kümmenen|num. yhd.||||kakskümen üks (RKS)||двадцать один|kaksikymmentä yksi|||||||||||
|kaks'kümment||num. yhd.||||kakskümen kolme (RKS)||двадцать три|kaksikymmentä kolme|||||||||||
|kaks'kümment||num. yhd.||||sada kakskümen (RKS)||сто двадцать|sata kaksikymmentä|||||||||||
|kaks'kümment||num. yhd.||||sada kakskümen viiž (RKS)||сто двадцать пять|sata kaksikymmentä viisi|||||||||||
|kaks'kümment||num. yhd.||||tuha sadan kerä kakskümen üks (RKS)||тысяча сто двадцать один|tuhat ja sata kaksikymmentä yksi|||||||||||
|kaks'sadad|kaks/sadad|num. yhd.||||||||||||||||||
|kaks'tuhad|kaks/tuhad|num. yhd.||||||||||||||||||
|kapp I|kappe, kapan, kappad|s.||каппа (мера)|kappa (mitta)|||||||||||||||
kapp, kartofei, kartofk|kartofel'|(V) kartofeli, -n, -d|s.|картофей|картофель|peruna|||||||||||||||
kapp, kartofel', kartofk|kartofei|kartofei, -n, -d|s.|картофей|картофель|peruna|||||||||||||||
kapp, kartofei, kartofel'|kartofk|kartošk/e, -an, -ad; (TP) kartofk/e, -an, -ad|s.||картошка, картофель|peruna|||||||||||||||
kartofei, kartofel', kartofk|kapp II|ka/ppu, -pun, -ppud; -puid (TTV)|s.||картошка, картофель, картофелина|peruna|on paha kappu||картошка плохая|on huono peruna|||||||||||
|kapp II||s.||||ülen äi kappud||очень много картошки|hyvin paljon perunaa|||||||||||
|kapp II||s.||||anda kappud!||дай картошки!|anna perunaa!|||||||||||
|kapp II||s.||||suured kapud||большие картофелины|isot perunat|||||||||||
|kapp II||s.||||sangedad kapud||крупные картофелины|isokokoiset perunat|||||||||||
|kapp II||s.||||ištuttai kapud||посадить картофель|istuttaa perunoita|||||||||||
|kapp II||s.||||ištuttai muah kappu||посадить в землю картошку|istuttaa peruna maahan|||||||||||
|kapp II||s.||||d'ogo s'inä pan'id kapud muah?||ты уже посадил картошку в землю?|joko olet istuttanut parunoita maahan?|||||||||||
|kapust|kapust/e, -an, -ad|s.||капуста|kaali|||||||||||||||
|kapustkera|(V) kapust/kera|s. yhd.||кочан капусты|kaalinkerä|||||||||||||||
|sanged|sange/i, -dan, -dad; -d'id|a.||толстый, полный, крупный|paksu, tukeva, isokokoinen|sangedad kapud||крупные картофелины|isokokoiset perunat|||||||||||
|suur'|suu/ri  ~ (V, SP) suu/r'i, -ren, -rte ~ (V) -rd ~ (SP) -rdu; -rid ~ (V) -r'id  ~ (TP, SP) -rii|a.||большой, великий|suuri, iso|suuri pruazn'ikke||великий праздник|suuri juhla|||||||||||
|suur'||a.||||suured ikkunat (RKS)||большие окна|isot ikkunat|||||||||||
|suur'||a.||||suured kapud||большие картофелины|isot perunat|||||||||||
|suur'||a.||||suured mötüd||большие медведи|isot karhut|||||||||||
|suur'||a.||||suureh čuppuh||в красный угол|ikoninurkkaan|||||||||||
|hüvin|hüvin|adv.||хорошо|hyvin|hüvin eläi||||||||||||||
|hüvin||adv.||||elägät ~ elägätte hüvin!||живите хорошо!|eläkää hyvin!|||||||||||
|piä II|piäi ~ (Ka) pia ~ (TP) päi  ~ (AV) piei|postp.||из, с, со, от; по направлению к|päin, käsin, kohti |kappukuopas piäi||из картофельной ямы|perunakuopasta|||||||||||
|piä II||postp.||||Kukkojev on Vašakas piäi||Куккоев из (деревни) Вашаково|Kukkojev on Vasakan kylästä|||||||||||
|piä II||postp.||||S'iberis piäi ol'i häi||из Сибири был он|hän oli Siperiasta|||||||||||
|piä II||postp.||||(Ka) Kaškanas pia vähä (OFM)||из Кашкан мало (жителей)|Kaskanasta on vähän (asukkaita)|||||||||||
|piä II||postp.||||(Ka) d'ärves pia||из озера|järvestä|||||||||||
|Mikko|Mi/kko, -kon, -kkod|hn.||Михаил|Mikko, Mikael|Fed'an Mikko||Михаил Фёдорович|Huotarin poika Mikko|||||||||||
Mikko|Miša|Miša|hn.||Михаил, Миша|Mikko, Mikael|Brendoin Miša on muamon tuatto||Mихаил Брендоев - отец (моей) мамы|Brendoin Mikko on äitini isä|||||||||||
Fed'oi|Fed'a|Fed'a, -n, -d|hn.||Фёдор, Федя|Huotari, Teodoros|Fed'an Mikko||Михаил Фёдорович|Huotarin poika Mikko|||||||||||
kukoi|Kukkojev|Kukkojev, -an, -ad|hn.||Куккоев (фамилия)|Kukkonen|Kukkojev on Vašakas piäi||Куккоев из (деревни) Вашаково|Kukkojev on Vasakan kylästä|||||||||||
|Turujev|Turujev, -an, -ad|hn.||Туруев (фамилия)|Turunen|||||||||||||||
Palag|Polli|Pol'l'i, -n, -d|hn.||Пелагея|Palaga, Pelagia|konze kuoli Pol'l'i-akke, kod'i müödih||когда умерла жена Пелагея, дом продали|Palaga-vaimon kuoltua talo myytiin|||||||||||
Vašakankülä|Vašak|Vaša/kke, -kas|pn.||Вашаково (деревня) |Vasakka (kylä)|Kukkojev on Vašakas piäi||Куккоев из (деревни) Вашаково|Kukkojev on Vasakan kylästä|||||||||||
|Vašak||pn.||||Vašakan külä|| деревня Вашаково|Vasakan kylä|||||||||||
Vašak|Vašakankülä|Vašakan/külä|pn. yhd.||Вашаково (деревня) |Vasakankylä|||||||||||||||
|Kuar|Kuare|pn.||Кара (деревня) |Kaara (kylä)|suured mötüd||большие медведи|isot karhut|||||||||||
|kappkuop|kappu/kuoppe|s. yhd.||картофельная яма|perunakuoppa|kappukuopas||в картофельной яме|perunakuopassa|||||||||||
|kappkuop||s. yhd.|||perunakuopasta|kappukuopas piäi||из картофельной ямы|perunakuopasta|||||||||||
|ištuttada|ištu/ttai, -tan, -t'in; (V) ištu/ttada, -tan|v.||садить, сажать, посадить|istuttaa, asettaa istumaan, sijoittaa, panna|ištuttai kapud||посадить картофель|istuttaa perunoita|||||||||||
|ištuttada||v.||||ištuttai muah kappu||посадить в землю картошку|istuttaa peruna maahan|||||||||||
|ištuttada||v.||||(Lm) pidäu ištuttai||нужно посадить|täytyy istuittaa|||||||||||
niit|durm|durm/i, -en, -ed; -id; (TP) nurm|s.||лужок, лужайка|nurmi, nurmikko, niitty|||||||||||||||
|*-go|*-go|liitep.||ли, ль, разве||äigo on?||сколько?|paljonko?|||||||||||
|*-go||liitep.||||äigo vuotte s'inul?||сколько тебе лет?|kuinka vanha olet?|||||||||||
|*-go||liitep.||||äijängo päiväd?||сколько дней?|montako päivää?|||||||||||
|*-go||liitep.||||d'ogo s'inä pan'id kapud muah?||ты уже посадил картошку в землю?|joko olet istuttanut parunoita maahan?|||||||||||
|*-go||liitep.||||ongo kod'is?||он дома?|onko hän kotona?|||||||||||
|*-go||liitep.||||(Ka) kirut'idgo?||ты записал?|kirjoititko?|||||||||||
|kabaloita|kabaloi/ta, -čen, -čin|v.||пеленать, заматывать|kapaloida, kääriä kapaloon|kabaloita ümbär'i samovuaran||обмотать (вокруг) самовар|kääriä samovaari ympäri|||||||||||
|ümbäri|ümbär'i ~ (V) ümbär' ~ (TP) ümbäri|adv.-adp.||вокруг|ympäri|kabaloita ümbär'i samovuaran||обмотать (вокруг) самовар|kääriä samovaari ympäri|||||||||||
|rašk I|rašk/e, -an, -ad|s.||бедняга, бедняжка|raukka, poloinen|kaži-raške||кот-бедняга|kissa-raukka|||||||||||
|itkettada|itke/ttäi, -tän, -t'in; -ttäu|v.||заставлять плакать; хотеться плакать; причитывать|itkettää; esittää itkuvirsiä|häin itkettäu||она причитывает|hän esittää itkuvirsiä|||||||||||
|itkettäj|itkettä/i, -jän, -jäd|s.||плакальщица|itkijänainen|||||||||||||||
|hiilav|hiila/u, -van, -vad; -vid|a.||горячий|kuuma (vesi), tulikuuma, hehkuva (kivi, rauta)|hiilav čaju||горячий чай|kuuma tee|||||||||||
|valada|val/ai ~ (Lm) val/ada, -an, -uoin|v.||наливать, налить|kaataa, valaa|vala čajud ~ čuajud! ||налей чаю!|kaada teetä!|||||||||||
|valada||v.||||(Bar) vala vette valdaižesti (NFL) kansanr.||лей воды вволю|kaada vettä mielin määrin|||||||||||
|mugažo|muga/že ~ -što|adv. yhd.||также, тоже, и|myös, *-kin|||||||||||||||
kondij, mömmö|möttü|mö/ttü, -tün, -ttüd (OFM)|s.||медведь|karhu, otsonen|suured mötüd||большие медведи|isot karhut|||||||||||
|eriže|eriže|adv.||порознь, отдельно|erikseen, erillään, erillään|||||||||||||||
eloaig|elaig|el/aige|s. yhd.||жизнь|elämä|anda hüväd elaigad!||дай хорошей жизни! (тост)|anna hyvää elämää! (toivomus)|||||||||||
|elaig||s. yhd.||||papile elaige tuhmen'iškanzi||у попа жизнь стала хуже|papin elämä alkoi tulla huonoksi|||||||||||
|tuhmeniškata|tuhmen'iška/ta, -ndou, -nzi|v.||начинать дурнеть, становиться хуже|alkaa tulla rumaksi, alkaa tulla huonoksi|papile elaige tuhmen'iškanzi||у попа жизнь стала хуже|papin elämä alkoi tulla huonoksi|||||||||||
|sündüda|sündü/dä, -n, -in; -u, -i|v.||влезать, помещаться|mahtua|ei nämä sündütä||эти не влезуть|nämä eivät mahdu|||||||||||
muga|ninka|nen/ga ~ (Ka) n'in/ga|adv. yhd.||так, таким образом|näin, tällä tavalla|nenga pane!||так поставь!|laita näin!|||||||||||
|ninka||adv. yhd.||||nenga otetah||так берут|näin otetaan|||||||||||
|ninka||adv. yhd.||||azu nenga!||сделай так!|tee näin!|||||||||||
|ninka||adv. yhd.||||(Ka) n'inga ei pagištu||так не говорили|näin ei puhuttu|||||||||||
|nuorižod|nuor'ižod|s. mon.||молодые, молодёжь|nuoret, nuoriso|ei voidu eläi ühtes nuor'ižod||не могли жить вместе молодые|eivät voineet elää yhdessä nuoret|||||||||||
|aiga|aiga|postp.||во время, временем|aikana|voinan aiga||во время войны|sodan aikana|||||||||||
|ke|ke ~ kere ~ kerä ~ (TP) kele|postp.||с, со|kera, kanssa|akan ke||с женой|vaimon kanssa|||||||||||
|ke||postp.||||admin'istracijan ke, herruiden ke||с администрацией, с начальниками|johdon kanssa, viranomaisten kanssa|||||||||||
|ke||postp.||||d'iäkkeri nuoran kerä (LMS 32)||якорь с канатом|kiviriippa nuorineen|||||||||||
|ke||postp.||||tuha sadan kerä (RKS)||тысяча сто|tuhat ja sata|||||||||||
|ke||postp.||||tuha sadan kerä ükstošt (RKS)||тысяча сто одиннадцать|tuhat ja sata yksitoista|||||||||||
|ke||postp.||||tuha sadan kerä kakskümen üks (RKS)||тысяча сто двадцать один|tuhat ja sata kaksikymmentä yksi|||||||||||
|administracij|admin'istraci/i, -jan, -jad|s.||администрация|johto|admin'istracijan ke, herruiden ke||с администрацией, с начальниками|johdon kanssa, viranomaisten kanssa|||||||||||
|kagraine|kagra/ine, -ižen, -šte; -ižid|a.||овсяный|kaura-|kagraine kuašše||овсяная каша|kaurapuuro|||||||||||
|kuaš|kua/šše, -šan, -ššad|s.||каша|puuro|kagraine kuašše||овсяная каша|kaurapuuro|||||||||||
|emand|emänd/e ~ emänd, -än, -äd|s.||хозяйка; владычица|emäntä; haltiatar|||||||||||||||
|muaemag|mua/emänd|s. yhd.||владычица земли|maanhaltiatar|||||||||||||||
noid, tiedaj|tiedoinik|t'ieduoin'i/kke ~ t'iedoin'i/kke (OFM) ~ t'ieduoinie/kke (LMS 268), -kan, -kkad; -kuoid; (Lm) t'ieduoiniekke; (V) t'iedoin'ikke|s.||знахарь|tietäjä, loitsija, noita|t'ieduoin'ikke ol'i vahne mužikke||знахарь был старый мужчина|tietäjä oli vanha mies|||||||||||
|tiedoinik||s.||||babuškad-t'ieduoin'ikad||бабушки-знахарки|tietäjämummot|||||||||||
|tiedoinik||s.||||neče on noide, t'ieduoiniekke (LMS 268)||этот - колдун, захарь|tuo on noide, tietäjä|||||||||||
|hora|hora, -n, -d|s.||хор|kuoro|||||||||||||||
|tahn|tahn/e, -an, -ad; -uoid|s.||загон для скота, коровник, двор (скотный)|tanhua, karjatanhua, karjapiha, karjatarha, navetta, piha rakennusten välissä|||||||||||||||
|d'o I|d'o|adv.||уже|jo|d'ogo s'inä pan'id kapud muah?||ты уже посадил картошку в землю?|joko olet istuttanut parunoita maahan?|||||||||||
|d'ogo|d'o/go|adv. yhd.||уже ли|joko|d'ogo s'inä pan'id kapud muah?||ты уже посадил картошку в землю?|joko olet istuttanut parunoita maahan?|||||||||||
|murdi|murn'i|adv.|||nurin, nurinpäin|||||||||||||||
|hamar|hamar, -an, -ad; -ruoid; (V) hamar/o, -on, -od; -ruoid|s.||обух|hamara|hamaral||обухом|hamaralla|||||||||||
|puol'|puo/l'i, -len, -lde; -l'iden, -l'id|s.||половина, сторона|puoli|veräjäle pand'ih riste pihan puolel, iraižel čural ||на воротах крест рисовали со стороны улицы, с внешней стороны|veräjälle piirrettiin risti ulkopuolelle, ulkoiselle puolelle|||||||||||
|puol'tošt|puol'- (LMS 340) ~ puol'i/tošt (OFM)|num. yhd.||полтора|puolitoista|puol'itošt kuud||полтора месяца|puolitoista kuukautta|||||||||||
|verai|verä/i,-jän, -jäd; -jiid|s.||ворота, калитка, уличная дверь|veräjä, ulko-ovi|veräjäle pand'ih riste pihan puolel, iraižel čural ||на воротах крест рисовали со стороны улицы, с внешней стороны|veräjälle piirrettiin risti ulkopuolelle, ulkoiselle puolelle|||||||||||
|irdaine|ira/ine, -ižen, -šte; -ižid|a.||внешний, уличный|ulkopuolinen, ulkoinen, ulko-|veräjäle pand'ih riste pihan puolel, iraižel čural ||на воротах крест рисовали со стороны улицы, с внешней стороны|veräjälle piirrettiin risti ulkopuolelle, ulkoiselle puolelle|||||||||||
kuni, mi|ku|kui|konj.||когда, что, пока; как, словно, чем; если, коли, коль|kun, että, jotta, kunnes, koska; kuin, niin kuin; jos|kui tämä hiil'i lököttäu||как этот уголь полыхает|kuin tämä hiili loimuaa|||||||||||
|ku||konj.||||kui tämä kod'i nouziž loits.||как этот дом поднялся бы|kuin tämä talo nousisi|||||||||||
|ku||konj.||||kui tämä d'üvä puuttuu muah (TTV) loits.||как это зерно попадает в землю|kuin tämä jyvä joutuu maahan|||||||||||
|lököttada|lökö/ttäi, -ttäu, -tti|v.||полыхать, пламенеть, гореть пламенем||kui tämä hiil'i lököttäu||как этот уголь полыхает|kuin tämä hiili loimuaa|||||||||||
|pergada|Lm, V) pergada, pergan, pergin|v.||бить, колотить, хлестать; расчищать, корчевать|lyödä, hakata; perata, raivata, puhdistaa, muokata|vastal pergamme||веником хлещемся|vastalla hakkaamme|||||||||||
|pölgästuz|pölgästü/z, -ksen, -ste|s.||испуг; пугало|pelästys; pelätin|||||||||||||||
|kapunpölgästuz|kapun/pölgästüz|s.||картофельное пугало|perunapelätin|||||||||||||||
|kovažim|kovaži/n, -men|s.||брусок, точильный брусок, оселок, точильный камень|kovasin, hiomakivi|kovažimel||на точильном брусоке|kovasimella|||||||||||
|pölgästuda|pölgästü/dä, -n, -in|v.||испугаться, струсить|pelästyä|||||||||||||||
|vaste  |vaste ~ vast|adv.-postp.||по, напротив, рядом с|vastaan, vasten, vastapäätä, vieressä, viereen|lat't'ad vast||(ударить) по полу|(lyödä) lattiaan|||||||||||
|vaste  ||adv.-postp.||||n'äppid vaste||(ударить) по пальцам|(lyödä) käteen|||||||||||
|näpp|n'ä/ppi, -pin, -ppid; -piid|s.||щепоть; пальцы, рука|näppi, hyppynen; sormet, käsi|n'äppid vaste||(ударить) по пальцам|(lyödä) käteen|||||||||||
|kudam|kudain, kudaman, kudainte; kudamid|pron.||который|joka; mikä, kumpi|(TP) kudain kandelid üheksäd kuuhuded itkuv.||ты, которая носила девять месяцев|joka kannoit (kohdussa) yhdeksän kuukautta|||||||||||
|kuldaine|kulda/ine, -ižen, -šte ~ (V) -št; -ižid; (TP) kulda/ine, -izen, -st; -izid|a.||золотой|kultainen, kulta-|d'umalaine kuldaine, abuta minule! (TTV) loits.||Боженька золотой, помоги мне!|Jumalani kultainen, auta minua!|||||||||||
|kuldaine||a.||||kuldaine kun'ingo (TTV) loits.||золотой царь|kultainen kuningas|||||||||||
kuningaz|kuning|kun'ingo (OFM)|s.||царь, король|kuningas, keisari, tsaari|kuldaine kun'ingo (TTV) loits.||золотой царь|kultainen kuningas|||||||||||
cuar', kuning|kuningaz|(TP) kun'n'ingas (LMS 170)|s.||царь, король|kuningas, keisari, tsaari|(TP) vedoin' kuldoin' kun'n'ingas (LKN 273) loits.||золотой царь воды|veden kultainen kuningas|||||||||||
kuld, kuldaine|kuldoi|(TP) kuldoi(n')|s.||золотце, мой золотой|kultani, kultaseni|(TP) vedoin' kuldoin' kun'n'ingas (LKN 273) loits.||(мой) золотой царь воды|vetoseni kultaseni kuningas, veden kultainen kuningas|||||||||||
|venä|ven'a, -n|s.||русский (язык); Россия|venäjä|häin t'iezi ven'an kielt||он знал русский язык|hän osasi venäjän kieltä|||||||||||
|venäks|ven'aks ~ -e|adv.||по-русски|venäjäksi|||||||||||||||
venälaine|venän-|ven'an-|s.||русский, российский|venäjän-, venäläis-, venäläinen|||||||||||||||
|venänalaine|(TP) ven'an/alaine, -alašte (LMS 483)|s. yhd.||русская варежка|venäläinen rukkanen|||||||||||||||
venälaine|venäkoi|ven'ako/i, -in, -id; -loid|s.||русский; русская женщина|venäläinen; venakko, venäläisnainen|mändih miehele ven'akoloile||вышли замуж за русских|menivät naimisiin venäläisten kanssa|||||||||||
|kus|kus|adv.||где|missä, kussa; jossa|kus päiväine ei nouze loits.||где солнце не встаёт|missä aurinko ei nouse|||||||||||
|päiväine|päivä/in’e, -ižen, -šte; -ižid|s. dem.||солнце, солнышко|aurinko, päivönen, päivyt|kus päiväine ei nouze loits.||где солнце не встаёт|missä aurinko ei nouse|||||||||||
|nostada|no/stai (NFL 516), -stan, -st'in; -stau, -s't'i; -stetah, -stettih; (TP, V) nost/ada, -an, -etah|v.||поднимать, повышать|nostaa, kohottaa|lembi nostai (NFL 516)||пустить о себе в людях хорошую молву и привлечь внимание и любовь молодых людей (NFL 516)|lempeä nostaa|||||||||||
nost|nostand|nostand, -an, -ad|s.||подъём, поднятие|nosto, nostaminen|||||||||||||||
|nousta|(TP, V) nou/sta, -zen, (Ph, V) nouz'iin ~ (Lm, SP) nouz'in (LMS 269)|v.||подниматься, вставать; лезть (наверх)|nousta, kiivetä, kohota|kus päiväine ei nouze loits.||где солнце не встаёт|missä aurinko ei nouse|||||||||||
|puhtastada|puhtas/tai, -tan, -t'in|v.||чистить, очистить|puhdistaa|peze, puhtasta minud! loits.||умой, очисти меня!|pese, puhdasta minut!|||||||||||
|edelleh(piä)|edelleh|adv.||дальше, далее|edelleen|||||||||||||||
|prostida|prost/ida, -n, -iin|v.||прощать, простить, извинить|antaa anteeksi|prost'igat!||простите!|antakaa anteeksi!|||||||||||
|ni mi|n’i mi|pron. yhd.||ничто|mikään|s'inuh ei tartu n'i mi||к тебе не пристанет ничто|sinuun mikään ei tartu|||||||||||
ku, kut, äij, äijgo, äijän; kudam|mi|mi, min, midä ~ (TP) mide|pron. ||что, который; сколько, много ли, чем|mikä, joka; kuinka paljon, miten paljon, paljonko, kuin, niin paljon kuin, kuinka|s'inuh ei tartu n'i mi||к тебе не пристанет ничто|sinuun mikään ei tartu|||||||||||
|mi||pron. ||||(TP) mide ruadad?||чего делаешь?|mitä teet?|||||||||||
|ni |n’i|part. ||ни, даже, и|edes, *-kaan, *-kään, *-kä|s'inuh ei tartu n'i mi||к тебе не пристанет ничто|sinuun mikään ei tartu|||||||||||
|tarttuda|tar/t(t)uda, -tun, -tuin|v.||приставать|tarttua; ryhtyä, ruveta|s'inuh ei tartu n'i mi||к тебе не пристанет ничто|sinuun mikään ei tartu|||||||||||
|puu|puu, -n, -de; -loid (LMS 341)|s.||дерево|puu|(SP) tukul läht'i puu (LMS 451)||целиком вышло дерево|juurineen lähti puu|||||||||||
|puu||s.||||onduz om puus (LMS 283)||дупло в дереве|puussa on ontelo|||||||||||
|puu||s.||||(Ka) puud oldau korgedad||деревья высокие|puut ovat korkeita|||||||||||
|puu||s.||||(SP) lehted kirbot't'ih puulois||листья опали с деревьев|lehdet putosivat puista|||||||||||
|kursad|kurs/ad, -id|s. mon.||курсы|kurssit|kursile lähtin||я пошла на курсы|lähdin kursseille|||||||||||
ku, sini|kuni|kun'i|konj.||пока, покуда|kunnes, siihen asti kunnes, siksi kunnes; niin kauan kun, sillä aikaa kun; ennen kuin|kun'i ujel'imme||пока мы плавали|kunnes kävimme uimassa|||||||||||
kunne|kunna|kunna|adv.||||(Pn) kunna mändä sulhaižikse? kansanr.||куда пойти пойти свататься?|mihin mennä kosimaan?|||||||||||
kunna|kunne|kunne|adv.||||(V) ken kunne||кто куда|kuka minnekin|||||||||||
|Hospodi|hospod' i|s.||Господи|Herra, armelias Jumala|voi hospod'i, hospod'i!||ой, Господи, Господи!|oi, Herra, Herra!|||||||||||
|voi|voi|interj.||ой|oi|voi hospod'i, hospod'i!||ой, Господи, Господи!|oi, Herra, Herra!|||||||||||
|abuttada|abu/ttai, -tan, -t'in|v.||помогать, помочь|auttaa|d'umalaine kuldaine, abuta minule! (TTV) loits.||Боженька золотой, помоги мне!|Jumalani kultainen, auta minua!|||||||||||
abu, talgoh|abutuz|(Lm) abutus|s.||помощь|avustus, talkoo|||||||||||||||
|valadakse|val/adakse, -amos, -uoimos|v. refl.||обливаться, полоскаться|valella itseään|valatos||обольёшься|valelet itseäsi|||||||||||
|valuda|valu/da, -u, -i|v.||литься, течь|valua, vuotaa|||||||||||||||
|vahnuz I|vahnu/s, -den, -t (LMS 470)|s.||старость|vanhuus|||||||||||||||
|vähäižel|vähäižel|adv. dem.||немножечко, немного, несильно|vähäsen, vähän, hieman|vähäižel humalas||немного во хмелю|hieman humalassa|||||||||||
|||||||||||||||||||||
|selgidakse|selgi/dakse, -mös, -imös|v. refl.||одеться|pukeutua|kündüksel selgitös||на пороге оденешься|kynnyksellä pukeudut|||||||||||
|kulgeda|kulg/eda, -en, -in|v.||скитаться, слоняться, брести, двигаться|kulkea, kuljeksia, kuljeskella|lähti Ilmoi kulgemah (NFL) kansanr.||двинулся Илмаринен (дальше)|lähti Ilmarinen kulkemaan|||||||||||
|Väinämoine|(Bar) Väinemüöi/ne, -žen|hn.||Вяйнямёйнен|Väinämöinen|vahne viizav Väinemüöine (NFL) kansanr.||старый мудрый Вяйнямёйнен|vanha viisas Väinämöinen|||||||||||
|viizav|viiza/u, -van, -vad|a.||умный, мудрый; хитрый|viisas, älykäs; viekas, ovela|vahne viizav Väinemüöine (NFL) kansanr.||старый мудрый Вяйнямёйнен|vanha viisas Väinämöinen|||||||||||
|viizaz|(V) viiza/s, -han,|a.||умный, мудрый; хитрый|viisas, älykäs; viekas, ovela|||||||||||||||
|selg|selg/e, -än, -äd; -id|s.||спина; сельга; балка|selkä; selänne, harju; järven selkä; kannatinhirsi (sillan), kattoparru, selkäpuu (patsaskiikun)|(V) andan barbal selgaa||дам вицей по спине|lyön varvulla selkään|||||||||||
|selgluu|selge/luu|s. yhd.||||||||||||||||||
|selgruod|selge/ruode|s. yhd.||||||||||||||||||
kibištuz, kibu|raipaiduz|raipahu/z, -ksen, -ste|s.||прострел, боль в пояснице, прострелы, боли в пояснице|selkäkipu, selkäkivut, noidannuoli, lannetauti|raipahuste leikattihe ~ leikattih||прострелы вырубали (лечили)|selkäkipuja katkaistiin (hoidettiin)|||||||||||
|raipaiduz||s.||||raipahuste l'iečittihe ~ l'iečittih||прострелы лечили|selkäkipuja hoidettiin|||||||||||
|raipaita|raipai/ta, -dau, -ži|v.||схватить, причинять боль в пояснице|tulla kipeäksi, halvata, saada lannetauti, saada noidannuoli|||||||||||||||
|muailm|(AV) muo/il'm|s. yhd.||мир, свет, вселенная|maailma, ilma|||||||||||||||
|Ural|Ural, -al, -ale|pn.||Урал|Urali|Uralal||на Урале|Uralilla|||||||||||
ingerilaine|ingermanlanc|ingermanlanc, -an|s.||ингерманландец|inkeriläinen|||||||||||||||
tirppada|kestada|kes/tädä, -tän (LMS 126)|v.||выдерживать, переносить, терпеть, устоять|kestää, sietää, kärsiä|||||||||||||||
üöl|üö|üö, -n, -de; (TP, V) üö, -n, -d|s.||ночь|yö|(Lm) vaugedad üöd||белые ночи|valoisat yöt|||||||||||
üö|üöl|(V) üöl|adv.||ночью|yöllä|||||||||||||||
|kroun’|(V) kroule|s.||||||||||||||||||
|koja I|(Lm) koj/a, -an, -ad; -id|s.||||||||||||||||||
kruugandälg, raiž|raiživ|raiživo|s.||колея, след (саней, телеги)|raide, pyöränraide, reenjalaksenjälki, ajoura, raitio|||||||||||||||
koldun, tiedoinik|noid|noid/e, -an, -ad; -id|s.||колдун|noita, tietäjä|neče on noide, t'ieduoiniekke (LMS 268)||этот - колдун, захарь|tuo on noide, tietäjä|||||||||||
|||||||||||||||||||||
d'ouk, grupaine, grupp|kamandaine|(TP) kamanda/ine, -zen|s. dem.||команда|joukko|||||||||||||||
|Suomi|Suom/i, -es, -eh ~-ehe|pn.||||mänd'ihe sinne Suomehe (TTV)||уехали туда в Финляндию|lähtivät sinne Suomeen|||||||||||
|Suomi||pn.||||eläu Suomes||живёт в Финляндии|asuu Suomessa|||||||||||
|Priäž|Pr’iäž/e, -äs, -äh |pn.||Пряжа|Prääsä|pappi eläu Pr’iäžäs||священник живёт в Пряже|pappi asuu Prääsässä|||||||||||
|papp|pa/ppi, -pin, -ppid; -piid|s.||священник, поп|pappi|pappi eläu Pr’iäžäs||священник живёт в Пряже|pappi asuu Prääsässä|||||||||||
|papp||s.||||(Lm) pappi valau lapsen||священник крестит ребёнка|pappi kastaa lapsen|||||||||||
|papp||s.||||papile elaige tuhmen'iškanzi||у попа жизнь стала хуже|papin elämä alkoi tulla huonoksi|||||||||||
rattahad|rataz|ra/tas, -ttahan; -ttahid|s.||колесо|ratas, pyörä, ajoneuvon pyörä|||||||||||||||
