synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
|v.|tühdeta|t’ühd’e/ta, -nob, -n’ ~ -n’ii; -taze, -t’ihe|пустеть|tyhjetä|||||||||
|s.|tuhk|tuhk, -an, -ad; -iin, -iid|зола, пепел|tuhka|||||||||
|s. yhd.|tuhkpeza|tuhk/peza|зольник|tuhkapesä|||||||||
|a.|tuhm|tuhm, -an, -ad|некрасивый, неблаговидный, уродливый|ruma|||||||||
purg|s.|tuhu|tuhu, -n, -d; -in, -id|метель, буран, вьюга|lumipyry, pyry, lumimyrsky|||||||||
|a.|tüün'|t'üün' ~ t'üin' (KTK)|тихо (о погоде)|tyyni|||||||||
|v.|tükita|t’ükita|конопатить|tilkitä, rivetä|||||||||
|adv.|tukul|tukul (IL)|оптом, гуртом|tukussa, kokonaan|||||||||
|a.|tülč|t’ül’č, -an, -ad|тупой|tylsä|||||||||
|v.|tülčeta|t’ül’če/ta, -nob, -n’ ~ -n’ii; -taze, -t’ihe|тупеть, отупеть|tylsyä|||||||||
|a.|tulij|tul’ij, -an, -ad|будущий|tuleva|||||||||
lieta, liinda, tulda|v.|tuliškata|tul’iška/ta, -ndob, -nd’ž ~ -nd’žii; -taze, -t’ihe|начать приходить, приближаться, наступать|alkaa tulla, olla tulossa, olla lähellä|tul’iškatah (LMS 452)|начали приходить|alkavat tulla||||||
|v.|tuliškata||||tul'iškan’č pruazn'ik (ND) kirj.|приближался праздник|oli tulossa juhlapäivä||||||
|v.|tuliškata||||tul'iškanč Äjapäiv (ND) kirj.|приближалась Пасха|pääsiäisjuhla oli lähellä||||||
|s.|tulo|tul/o, -on, -od; -uun, -uud|доход|tulo|||||||||
sume|s.|tuman|tuman, -an, -ad|туман|sumu|||||||||
vieraz|a.|tundematoi|(Pal) tundemat/uu, -oman, -omad; -omiin, -omiid|незнакомый, неузнаваемый; незнакомец|tuntematon, vieras|||||||||
|s.|tundr|tundr, -an, -ad|тундра|tundra|||||||||
|s.|tungend|tungend, -an, -ad|толкотня, давка|tunkeminen, tungos|||||||||
|s.|tunnel’|tunnel’|туннель|tunneli|||||||||
kuor'|s.|tuoh|tuoh, -en, -t; -iin, -iid|берёста|tuohi|||||||||
|s.|tuohuz|tuohu/z, -sen, -st; -s’iin, -s’iid|свеча|tuohus, kynttilä|||||||||
tuomižik|s.|tuomik|(Yl) tuumik, -on, -od; -uun, -uud|черёмушник|tuomisto|||||||||
tuomik|s.|tuomižik|(Pal) tuomižik, -on, -od; -uun, -uud|черёмушник|tuomisto|||||||||
|v.|tüötä|t’üö/ta ~ -tä (KTK), -ndab, -nd’ž ~ -nd’žii; -taze, -t’ihe|отправлять, отправить, посылать, послать, присылать, прислать, направлять, направить, высылать, выслать |lähettää|(Pal) mija t’üönčiin teid rahmaha (ND) kirj.|я послал вас жать|minä lähetin teidät korjaamaan satoa||||||
|s. yhd.|turbaaz|tur/baza, -bazan, -bazad|турбаза|turistiasema|||||||||
|s.|turbin|turbin, -an, -ad; -uun, -uud|турбина|turbiini|||||||||
|v.|turbota|turvota (IL)|разбухать|turvota|||||||||
|s.|turk|turk, -an, -ad|турок|turkkilainen|||||||||
|s.|türm|t’ür’m ~ t'ur'm (KTK), -an, -ad|тюрьма|vankila, tyrmä|||||||||
|a.|türömšik|t’üromšik ~ t’ür’emšik, -an, -ad|заключёный, узник|vanki, tyrmäläinen|||||||||
|s.|tušš|tuš, -in, -id; -iin, -iid|тушь|tussi|||||||||
kokk, muna|s.|tütt|t’ütt, t’üt’t’ün, t’üt't'üd|мужской орган|penis|ištub Van’a iknal, s'üötap tüt’t’üt taukunal hum.|сидит Ваня на окне, кормит член толокном|istuu Vanja ikkunalla, syöttää p-sta talkkunalla||||||
pilv, purg, tuhu|s.|tuuč|tuuč, -an, -ad; -iin, -iid|метель, грозовая туча|pyry, tuisku, ukkospilvi|tuučan tui|тучу принесло|ukkospilven toi||||||
|v.|tuoda||||tuučan tui|тучу принесло|ukkospilven toi||||||
|s.|tuulatand|tuulatand, -an, -ad|веяние|viskuu|||||||||
|s. yhd.|tuulatandmašin|tuulatand/mašin|веялка|viskuri, viskuukone|||||||||
|v.|tuulattada|tuula/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|веять|viskata|||||||||
kogota, ottada (irdale), puhtastada|v.|uberida|uber’i/da, -b, -i; -taze, -t’ihe|убирать, убрать, прибирать, прибрать|korjata, siivota, siistiä, korjata pois, koota korjuuseen, viedä tieltä, viedä pois, viedä talteen |||||||||
puhtastada|v. refl.|uberidakse|uber’i/dakse, -že, -ihe(ze)|убираться|sivota, tehdä siivous|||||||||
puhtastuz|s.|uberind|uber’ind, -an, -ad|уборка|keruu; siivous|hein’än uber’indan aiga|во время уборки сена|heinän korjuun aikana||||||
puhtastuz, uberind|s.|ubork|ubork, -an, -ad; -uun, -uud|уборка|siivous|||||||||
puhtastaj|s.|uboršic|uboršic, -an, -ad; -uun, -uud|уборщица|siivooja|||||||||
paust|s.|učastk|učastk, -an, -ad; -uun, -uud|участок|palsta|||||||||
opastada, opastuda|v.|uččida|učta, uččib, učii; uč(i)taze, uč(i)t'ihe|учить, научить, обучать, обучить|oppia, opettaa|(Pal) l’iid’ikš učtaze|учат на людиковском|lyydin kielellä opetetaan||||||
|v.|uččida||||mija aiviin učiin (ND) kirj.|я всегда учил|olen aina opettanut||||||
opastundkird'|s.|učebnik|učebn’ik, -an, -ad; -uun, -uud|учебник|oppikirja|||||||||
opastuj|s.|učenik|učen’ik, -an, -ad; -uun, -uud|ученик|oppilas, opetuslapsi|Iisusal’e müödaha l'äht’ihe Simon Petr i toin’e učen’ik (ND) kirj.|за Иисусом следовали Симон Петр и другой ученик|Simon Pietrari ja toinen opetuslapsi menivät Jeesuksen perässä||||||
|s.|učenik||||sill čuasul tul'ii Petr i toin'e učen'ik  (ND) kirj.|тотчас вышел Петр и другой ученик|silloin tuli Pietari ja toinen opetuslapsi||||||
|s.|učenik||||učen'ikad hänen l'äht'ihe l'idnaha osmaha süömišt (ND) kirj.|ученики его отлучились в город купить пищи|hänen opetuslapsensa ovat menneet kaupunkiin ostamaan ruokaa||||||
|s.|učenik||||Mar’ija mänob i izvest’ib učen’ikuul’e (ND) kirj.|Мария идёт и возвещает ученикам|Maria menee opetuslasten luo ja ilmoittaa||||||
opastaj|s.|učitel’|učit’el’, -an, -ad; -uun, -uud|учитель, педагог|opettaja, pedagogi|učitel’an ol'ii Zout'ikouv (OF) kirj.|учителем был Зотиков|opettajana oli Zotikov||||||
|s.|učitel’||||učit’el’uun l’ibo papin l’ibo d’iakan lapsed|дети учителей или священника или диакона|opettajien tai papin tai diakonin lapset||||||
oza|s.|udaač|uddač  (KTK) ~ udaač (IL), -an, -ad; -uun, -uud|удача|lykky, onni, menestys|||||||||
|s.|udar|udar|"вымя
"|utaret|||||||||
haud|s.|uhab|uhab, -an, -ad; -uun, -uud|ухабина|kuoppa|||||||||
|num. yhd.|üheksatošt|ühesa/tošt|девятнадцать|yhdeksäntoista|||||||||
|num. yhd.|üheksakümment|ühesa/küment|девяносто|yhdeksänkymmentä|||||||||
|num. yhd.|üheksasadad|ühesa/sadad|девятьсот|yhdeksänsataa|||||||||
|adv. yhd.|ühtelaigal|ühtel/aigal|одновременно|yhtaikaa|||||||||
|a. yhd.|ühtigahine|üht/igahiin’e|ровесник|samanikäinen|||||||||
|s.|ufat|uhvat, -an, -ad; -uun, -uud|ухват|patahaarukka|||||||||
|s.|ujuj|ujuj, -an, -ad|пловец|uimari|||||||||
|s.|ujund|ujund, -an, -ad|плавание, купание|uinti|||||||||
|s.|ukol|ukol, -an, -ad|укол|pistos|||||||||
|s.|ukrop|ukrop, -an, -ad|укроп|tilli|||||||||
|a. yhd.|*-käzine|*-käz’i/in’e, -ižen, -št; -ižiin, -ižiid|*-рукий|*-kätinen|üks’käz’iin’e|однорукий|yksikätinen||||||
*-käzine|a. yhd.|üks’käzine|üks’/käz’iin’e|однорукий|yksikätinen, toiskätinen|||||||||
|a. yhd.|*-päiväine|*-päivä/än’e, -äžen, -št; -äžiin, -äžiid|*-дневный|*-päiväinen, päivän|üks’päivään’e|однодневный|yhden päivän||||||
*-päiväine|a. yhd.|üks’päiväine|üks’/päivään’e|однодневный|yhden päivän|||||||||
|num. yhd.|üks’tošt|üks’- ~ üks/tošt (LMS 505), ühten/tošt, üht/tošt|одиннадцать|yksitoista|||||||||
|a.|üksinaine|üks’ina/an’e, -ažen, -št; -ažiin, -ažiid|одинокий, уединенный|yksinäinen|||||||||
|s. yhd.|üksinpajattaj|üks’iim/pajataj|солист, запевала|solisti|||||||||
|s.|uksus|uksus, -an, -ad|уксус|etikka|||||||||
|adv. yhd.|ülähakssai|ül’ähaks/sua (IL)|доверху|ylös asti|||||||||
ravišta, ulaita, ulvada, ulvoda, vonguda|v.|ulišta|ul’i/šta, -žob, -ž ~ -žii; -štaze, -št'ihe|выть; рыдать|ulvoa|rubeta ul’ižmaha|завывать|alkaa ulvoa||||||
vongund|s.|uližend|ul’ižend, -an, -ad|вой|ulvonta; itku|||||||||
|adv.|umbeh|umbehe|наглухо|umpeen|||||||||
salbata; ühtištada|v.|umbištada|umbiš/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|закрывать, смыкать|ummistaa, sulkea; rypyttää piirakan reunoja (Kj)|||||||||
|a.|uneksine|uines’i/in’e, -ižen, -št; -ižiin, -ižiid (IL)|заспанный|uninen|||||||||
|a.|unikaz|un’ika/z, -han, -st; -hiin, -hiid|сонливый, сонный|unelias, uninen|||||||||
|s.|univermag|un’ivermag, -an, -ad|универмаг|tavaratalo|||||||||
|s.|universtet|univers’it’et, -an, -ad|университет|yliopisto|||||||||
|a.|unohtamatoi|unohtamat/uu, -oman, -omad; -omiin, -omiid|незабываемый|unohtamaton|||||||||
|s.|unohtuz|unohtu/z, -sen, -st; -s’iin, -s’iid|забывание; забвение|unohdus, unohtaminen|||||||||
|v.|üödüda|üödu/da, -b, -i; -taze, -t’ihe|заночевать|yöpyä|||||||||
|s. yhd.|üösija|üö/s’ija|ночлег|yöpymispaikka|||||||||
|v.|üöstüda|üöstu/da (IL) ~ üöstüdä (KTK), -b, -i|заблудиться|eksyä||||olda üöstus’iiš|заблудиться|eksyä|||
|adv.|üöstüksiš|üöstus'iiš|в заблуждении|eksyksissä|kävel'ta üöstus’iiš (IL)|блуждать, бродить|harhailla, kuljeskella||||||
painada, vajottada|v.|upottada|upo/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|топить, потопить|upottaa, vajottaa, hukuttaa|||||||||
vajottaj|a.|upottaj|upotaj, -an, -ad|топкий|vajottava|upotaj koht|трясина|vajottava paikka||||||
tabakaz|a.|upr’amoi|upr’am/ij, -uun, -uud |упрямый|itsepäinen|||||||||
obusk|s.|upusk|upusk, -un, -ud|отпуск (стада)|karjanlaskutodistus, karjanpäästötodistus, karjanlaskuesine, karjan suojelutaika|upuskun lask|сделал отпуск стада|teki karjanlaskutodistuksen||||||
|v.|laskeda||||upuskun lask|сделал отпуск стада|teki karjanlaskutodistuksen||||||
|s.|upusk||||upuskuks san’d’ihe, vod kune panob, jesl’ii rod’n’ikaha t’äha|отпуском называли, вот куда положит, если в этот родник|karjanlaskutodistukseksi sanottiin, niin minne sen panee, jos vesilähteeseen tähän||||||
|part.|vott||||upuskuks san’d’ihe, vod kune panob, jesl’ii rod’n’ikaha t’äha|отпуском называли, вот куда положит, если в этот родник|karjanlaskutodistukseksi sanottiin, niin minne sen panee, jos vesilähteeseen tähän||||||
purde|s.|rodnik||||upuskuks san’d’ihe, vod kune panob, jesl’ii rod’n’ikaha t’äha|отпуском называли, вот куда положит, если в этот родник|karjanlaskutodistukseksi sanottiin, niin minne sen panee, jos vesilähteeseen tähän||||||
|v.|sanuda||||upuskuks san’d’ihe, vod kune panob, jesl’ii rod’n’ikaha t’äha|отпуском называли, вот куда положит, если в этот родник|karjanlaskutodistukseksi sanottiin, niin minne sen panee, jos vesilähteeseen tähän||||||
|pron.|tämä||||upuskuks san’d’ihe, vod kune panob, jesl’ii rod’n’ikaha t’äha|отпуском называли, вот куда положит, если в этот родник|karjanlaskutodistukseksi sanottiin, niin minne sen panee, jos vesilähteeseen tähän||||||
|adv.|kunne||||(Js) upuskuks san’d’ihe, vod kune panob, jesl’ii rod’n’ikaha t’äha|отпуском называли, вот куда положит, если в этот родник|karjanlaskutodistukseksi sanottiin, niin minne sen panee, jos vesilähteeseen tähän||||||
|konj.|desli||||upuskuks san’d’ihe, vod kune panob, jesl’ii rod’n’ikaha t’äha|отпуском называли, вот куда положит, если в этот родник|karjanlaskutodistukseksi sanottiin, niin minne sen panee, jos vesilähteeseen tähän||||||
|v.|panda||||upuskuks san’d’ihe, vod kune panob, jesl’ii rod’n’ikaha t’äha|отпуском называли, вот куда положит, если в этот родник|karjanlaskutodistukseksi sanottiin, niin minne sen panee, jos vesilähteeseen tähän||||||
|a.|ur’tunu|ur’tunu, -den, -t; -z’iin, -z’iid|сглаженный|pilattu|||||||||
huim, mieletoi, tolkutoi|a.|urad|urad, -an, -ad|бешеный; дурак, дура|hullu, raivoisa|||||||||
*-päivälline|a. yhd.|uradpäivälline|urat/päiväl’iin’e|шальной, взбалмошный|hullunkurinen, oikkupäinen|||||||||
mieletoi, uradpäiväine, uradpäivälline|s.|šalnoi|šal'n/ij, -uun, -uud (KTK)|шальной|hassu, mieletön, hullunkurinen|šal'nij miez' (KTK)|шальной человек|hassu mies||||||
|s.|urn|urn, -an, -ad|урна|uurna|||||||||
urad|s.|urod|urod, -an, -ad|урод|epäsikiö, hullu|||||||||
čuas|s.|urok|urok, -an, -ad|урок|oppitunti|||||||||
ur'k|s. mon.|ur'kod|ur'k(v)/od, -uun, -uud|сглазы|taiat|||||||||
uss|s. mon.|usad|us/ad, -iin, -iid|усы|viikset|usiin ke|усатый|viiksekäs||||||
usad|s.|uss|uss, usan, ussad; usiin, usiid|ус|viiksi|||||||||
taloi|s.|usadib|usad’b, -an, -ad|усадьба|kartano|||||||||
|s.|ušerb|ušerb, -an, -ad (IL)|ущерб|vahinko|||||||||
|s.|uskond|uskond, -an, -ad|вера; доверие; поверье|usko, uskonto, uskomus; luottamus|||||||||
|a.|uskottav|uskotab, -an, -ad|убедительный|uskottava|||||||||
silituzraud|s.|ut’ug|ut’ug, -an, -ad|утюг|silitysrauta|||||||||
silituz|s.|ut’ugoičend|ut’uguučend, -an, -ad|глажение|silitys|||||||||
silittada, ut'ugoita|v.|ut’užida|ut’uži/da, -b, -i; -taze, -t’ihe|гладить|silittää|||||||||
uudessah|adv.|uutasti|uutašt’i ~ uudetašt'i (KTK)|снова, заново, сначала, вновь|uudestaan, uudelleen|pesta uutašt’i (IL)|перемывать|pestä uudestaan||||||
arvostada|v.|uvažida|uvaži/da, -b, -i; -taze, -t’ihe|уважать|kunnioittaa|||||||||
arvostuz|s.|uvažind|uvažind, -an, -ad|уважение|kunnioitus|||||||||
|s.|uvert’uur|uvert’ur, -an, -ad|увертюра|uvertyyri|||||||||
kiär, kotm, uzl|s.|komk|komk, -an, -ad; -iin, -iid|ком, комок; узел, свёрток (KTK)|kokkare, paakku, pallo; nyytti, mytty, käärö|||||||||
kiär, komk|s.|uzl|uzl, -an, -ad; -iin, -iid|узел, свёрток|nyytti, mytty, käärö|||||||||
uzl|s. dem.|uzlaine|uzla/an’e, -ažen, -št; -ažiin, -ažiid|узелок, свёрточек|nyytti (pieni), mytty (pieni)|||||||||
kird'ad|s.|uzor|uzor, -an, -ad|узор|kuvio|||||||||
|s.|vacalleh|vacal’eze|плашмя|vatsalleen, pitkin pituuttaan|||||||||
|s.|vadd’ I|vad’d’ ~ bad’d’, -an, -ad (KTK)|бадья|sanko, amme|||||||||
|s.|vagahaine|vagaha/an’e, -ažen, -št; -ažiin, -ažiid|младенец, грудной ребенок|vauva|||||||||
vahalaukoi, omasien'|s. yhd.|vahalauk|vaha- ~ baha/lauk, -laukun, -laukud; -laukuin, -laukuid|волнушка|karvalaukku, karvarousku|||||||||
venän-, venäkoi|a.|venälaine|ven’ala/an’e ~ venäla/an'e (KTK), -ažen, -št; -ažiin, -ažiid|русский|venäläinen|s’iga om ezmaan’e ven’alaan’e d’er’ein’|там находится первая русская деревня|siellä sijaitsee ensimmäinen venäläinen kylä||||||
Venä|pn. yhd.|Venänmua|Ven'am/mua|Россия, Русская земля|Venäjä, Venäjänmaa|d’ogi t’äma mänob Ven’ammual’e|река эта течёт в Россию|tämä joki virtaa Venäjälle||||||
Venänmua|pn.|Venä|Ven'a, -l, -l'e|Россия|Venäjä|Sagil-se kuului t’äha d’o, Ven’am puol’el’e|Согиницы ведь уже относились сюда, к русской стороне| Sakilahan kuului jo tähän, Venäjän puolelle||||||
venälaine|s.|venän-|ven'an-|русский, российский|venäjän-, venäläis-, venäläinen|||||||||
|s. yhd.|venänpajo|ven'am/pajo|русская песня|venäläinen, venäjän|müö zavod’iim ezmai muga pajatada n’ämiid ven’ampajuud |мы начали сперва просто петь эти русские песни|me aloitimme ensin muuten vain laulaa näitä venäläislauluja||||||
väges|adv.|vägeh|vägehe (IL)|насилу|vaivoin|||||||||
vägeh|adv.|väges|väges (KTK)|насилу|vaivoin|||||||||
|s.|vagon|vagon, -an, -ad|вагон|vaunu|||||||||
vähä|adv.-a. dem.|vähäine|vähä/än’e, -äžen, -št; -äžiin, -äžiid|малый, малое, малость, небольшая часть; чуть-чуть, маленько, немножко, немного|vähäinen, vähä, pieni osa; vähäsen, hieman, pikkusen|i salagad vähään’e|и салаки малость| ja silakkaa vähäsen||||||
vähäine|adv. dem.|vähäižil|vähääžiil|маленько, немножко|vähäsen, vähän|varaata vähääžiil|побаиваться|pelätä vähäsen||||||
|a. yhd.|vähälsuolattu|vähäl/suolatud|малосольный|vähäsuolainen|||||||||
*-verine|a. yhd.|vähänverine|vähän/ver’iin’e (IL)|малокровный|vähäverinen||||mustver’iin’e|смуглый, брюнет|tumma|||
|a. yhd.|*-verine|*-ver'i/in’e, -ižen, -št; -ižiin, -ižiid|*-кровный|*-verinen|vähänver’iin’e (IL)|малокровный|vähäverinen||||||
*-vägine|a. yhd.|vähävägine|vähä/vägiin’e|слабосильный, маломощный|vähäväkinen|||||||||
|a. yhd.|*-vägine|*-vägi/in’e, -ižen, -št; -ižiin, -ižiid|*-сильный, *-мощный|*-väkinen|vähävägiin’e|слабосильный, маломощный|vähäväkinen||||||
*-vezine|a. yhd.|vähävezine|vähä/vez’iin’e|маловодный|vähävetinen|||||||||
|a. yhd.|*-vezine|*-vez'i/in’e, -ižen, -št; -ižiin, -ižiid|*-водный|*-vetinen|vähävez’iin’e|маловодный|vähävetinen||||||
|v.|väheta I|vähe/ta, -ndab, -nd’ž ~ -nd’žii; -taze, -t’ihe|уменьшать, уменьшить, сокращать, сократить|vähentää|||||||||
|v.|väheta II|vähe/ta ~ vähä/ta, -nob, -n’ ~ -n’ii; -taze, -t’ihe|уменьшаться, уменьшиться, сокращаться, сократиться, становиться меньше|vähetä, vähentyä, pienetä|l'üüdïkuud d'oga vuoden vähenob (IL) kirj.|людиков каждый год становится меньше|joka vuosi lyydiläisten määrä vähenee||||||
|v.|väheta II||||n’ügüö kalad om vähenu| теперь рыбы стало меньше |nyt kaloja on vähennyt||||||
|v.|väheta II||||l’ehman pidand om vähänu|содержание коров сократилось|lehmien pitäminen on vähentynyt||||||
|s.|vuoz'||||l'üüdïkuud d'oga vuoden vähenob (IL) kirj.|людиков каждый год становится меньше|joka vuosi lyydiläisten määrä vähenee||||||
|pron. taipum.|d'oga||||l'üüdïkuud d'oga vuoden vähenob (IL) kirj.|людиков каждый год становится меньше|joka vuosi lyydiläisten määrä vähenee||||||
|s.|lüüdikoi||||l'üüdïkuud d'oga vuoden vähenob (IL) kirj.|людиков каждый год становится меньше|joka vuosi lyydiläisten määrä vähenee||||||
vahn|a. dem.|vahnaine|vahna/an’e, -ažen, -št; -ažiin, -ažiid|старенький|vanha, vanhahko|||||||||
vahnennu|a.|vahntunu|vahntunu ~ vahndunu (KTK), -den, -t; -z’iin, -z’iid|застарелый|vanhentunut|vahndunu obid (KTK)|застарелая обида|vanhentunut loukkaus||||||
vahntunu|a.|vahnennu|vahnenu (IL), -den, -t; -z’iin, -z’iid|устарелый, застарелый, обветшалый|vanhentunut|||||||||
|v.|vahneta II|vahne/ta, -nob, -n’ ~ -n’ii; -taze, -t’ihe|стареть, состариться, отживать|vanheta|||||||||
|s.|vähüz|vähü/z, -sen, -st; -s’iin, -s’iid|нехватка, недохватка|vähyys, puute|||||||||
|v.|vaikastuda|vaikastu/da, -b, -i; -taze, -t’ihe|замолкать, замолчать, умолкать, смолкать|vaieta|||||||||
|a.|vaikkinaine|vaikana/an’e, -ažen, -št; -ažiin, -ažiid|молчаливый|vaitelias|||||||||
|adv.|vaivaižesti|vaivaažest’i|вяло|vaivoin|||||||||
|a.|vajag|vajag, -an, -ad; -uun, -uud|неполный|vajaa|||||||||
|v. frekv.|vajehtelta|vajehte/l’da, -l’ob, -l’ ~ -l’ii|выменивать|vaihdella|||||||||
|s.|vajehtuz|vajehtu/z, -sen, -st; -s’iin, -s’iid|замена, обмен, размен|vaihto|||||||||
|adv.|vajeti|vajet’t’i ~ vait't'i ~ (SV) vait’i|молча, втихомолку|vaiti, ääneti|olda vajet’t’i|молчать, помолчать, промолчать|olla vaiti||||||
|v.|vajoda|vaju/uda, -ub, -u|вязнуть, завязнуть, увязнуть, провалиться, утопать|vajota|||||||||
upottada|v.|vajottada|vajuu/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|засасывать, топить|vajottaa, upottaa|||||||||
upottaj|a.|vajottaj|vajuutaj, -an, -ad|топкий|upottava|||||||||
|s.|vakansij|vakans’ij, -an, -ad|вакансия|vakanssi|||||||||
|s.|val’uut|val’uta, -n, -d|валюта|valuutta|||||||||
|s.|valatand|valatand, -an, -ad|крестины|kaste|||||||||
|a.|valdalline|valdal’i/in’e, -ižen, -št; -ižiin, -ižiid|самовольный, шаловливый; озорник|omavaltainen|||||||||
|v. frekv.|valelta|val’e/l’ta, -l’ob, -l’ ~ -l’ii; -l’taze, -l’t’ihe|поливать, обливать, заливать|valella, kastella|||||||||
|adv.|valged III|vauged|бело, светло|valoisaa|||||||||
|s. yhd.|valgedtukk|vauget/tukk|белокурый|vaaleatukkainen|||||||||
|s.|valičend|val’ičend, -an, -ad|выбор, отбор, подбор|valinta|||||||||
|a.|valittu|val’itu/d, -n, d|отборный|valikoitu|||||||||
laged|a.|väll’|väl’l’, -än, -äd|просторный; раздолье, приволье|väljä|||||||||
|v.|vall’astada|val’l’as/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|запрягать, впрягать|valjastaa|val’l’asta hebod! (KTK)|запряги лошадей!|valjasta hevoset!||||||
|adv.|valmehen|vaumhen|наготове, начеку|valmiina, valmiudessa|olda vaumhen|быть наготове, быть начеку|olla valmiina||||||
|v. refl.|valmištadakse|vaumiš/tadakse, -taze, -t’iihe(ze)|готовиться|valmistautua|||||||||
|s.|vals|val’s, -an, -ad|вальс|valssi|||||||||
|v.|valuda|valu/da, -b, -i; -taze, -t’ihe|подтекать|valua|||||||||
|s.|vann|vann, -an, -ad|ванна|amme, kylpy|||||||||
|s.|vara|vara, -n, -d|запас|vara|||||||||
|adv.|varaite|varaate|несмело|arkaillen|||||||||
|s.|vard’oiččij|vard’uučij, -an, -ad|сторож|vartija|||||||||
|s. mon.|vard’oiččijad|vard’uučij/ad, -uun, -uud|стража|vartijat, vartio|||||||||
|v. refl.|vard’oitakse|vard’uutakse ~ vard’uotakse ~ (Pal) vard'uudakse|беречься, уберечься, остерегаться|olla varovainen, varoa|vard’uote! ~ vard’uude! (IL)|берегись!|varo!||||||
|s.|varend’|varend’, -an, -ad|варенье|hillo|||||||||
kiškoda|v.|vargastada|vargas/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|воровать, обворовать, красть, украсть, похищать, похитить, грабить, ограбить, разграбить, угонять, угнать|varastaa|||||||||
vargastuz|s.|vargastand|vargastand, -an, -ad|воровство, кража|varkaus|||||||||
|a.|vargastettu|(Pal) vargastadu/d, -n, -d; -in, -id|краденный|varastettu|||||||||
vargastand|s.|vargastuz|vargastu/z, -sen, -st; -s'iin, -s'iid|кража|varkaus|||||||||
varzaine|s.|varz|varz, -an, -ad; -uun, -uud|жерёбенок|varsa|||||||||
varz|s. dem.|varzaine|varza/an’e, -ažen, -št; -ažiin, -ažiid|жеребёнок, жеребёночек, жеребчик|varsa (pieni)|||||||||
vastuz|s.|vastaduz|vastavu/z, -sen, -st; -s’iin, -s’iid  (IL)|отпор|vastustus (IL); vastaus, vastuu|||||||||
|adv.|vastal|vastal|против|vastapäätä|||||||||
|adv. yhd.|vastalpiä|vastal/piä|напротив|vastapäätä|||||||||
|s.|vastand|vastand, -an, -ad|ответ|vastaus|||||||||
|a. yhd.|vasterodittu|vaste/rod’itud ~ (Pal) vaste/rod’idud|новорождённый|vastasyntynyt|||||||||
vastado, vastaduz, vastahotad|s.|vastuz|vastu/z, -sen, -st; -s’iin, -s’iid|встреча; ответ; преграда, препятствие|vastaanotto; vastaus; este|häin sanui vastusen (KTK)|он дал ответ|hän antoi vastauksen||||||
mall'|s.|vuaz|vaz/a, -an, -ad; -uun, -uud|ваза|maljakko|||||||||
|s.|vazanliha|vazan/l’iha|телятина|vasikanliha|||||||||
tiähtelline|a.|važnoi|važn/ij, -uun, -uud |важный|tärkeä|||||||||
|s.|veččin|veččina, -n, -d|ветчина|kinkku|||||||||
|s.|vedand|vedand, -an, -ad|воз, вывоз|veto, poiskuljetus|||||||||
vedehine|s. yhd.|vedenižand|veden/ižand|дух воды, водяной|vedenhaltia, vetehinen|||||||||
vedenižand|s.|vedehine|vedehi/in’e, -ižen, -št; -ižiin, -ižiid|водяной|vetehinen|||||||||
|v. frekv. refl. |vedeltakse|vede/l’takse, -l’eze, -l’iihe(ze)|слоняться|maleksia, vetelehtiä|||||||||
|s. yhd.|vedennouzend|veden/nouzend|наводнение|tulva|||||||||
|s. yhd.|vedenvedaj|veden/vedaj|водовоз|vedenkuljettaja|||||||||
|s.|veksel’|veksel’|вексель|vekseli||||(Pal) otta velgaha|брать в долг, занимать, заимствовать|lainata|||
|s.|velg|velg, -an, -ad; -uun, -uud|долг, задолженность, недоимка, кредит, налог|velka, laina, luotto, vero, rästimaksu|anta velg (KTK)|отдать долг|maksaa velka||||||
|s.|velg||||(Pal) anta velgaha|дать в долг, одолжить|antaa lainaksi|(Pal) otta velgaha|брать в долг, занимать, заимствовать|lainata|||
|adv.|velgah|velgha ~ (Pal) velgaha|в долг, взаймы, заимообразно|lainaksi|(Pal) anta velgaha|дать в долг, одолжить|antaa lainaksi||||||
|s.|velgnik|velgn’ik, -an, -ad; -uun, -uud|должник|velallinen|||||||||
d’algrataz|s.|veloseped|velos'eped, -an, -ad|велосипед|polkupyörä|||||||||
|s.|venč|venč, -an, -ad|венец|vihkikruunu, vihkiminen|||||||||
|s.|ventil’ator|vent’il’ator, -an, -ad|вентилятор|tuuletin|||||||||
|s.|verai-|veraa-|уличный|ulko-|||||||||
|s. yhd.|verainuberij|veraan/uber’ij|дворник|talonmies|||||||||
|s.|verand|veranda, -n, -d|веранда|kuisti, veranta|||||||||
|s.|verbl’uud|verbl’ud, -an, -ad|верблюд|kameli|||||||||
|adv.|verduksiš|verdus’iiš|в обиде|suutuksisssa|olda verdus’iiš|дуться|olla suutuksissa||||||
|a.|verdunu|verdunu, -den, -t; -z’iin, -z’iid|сердитый|suuttunut|||||||||
