adv.	smielo	smielo	смело				
v.	vajehtada	vajehtada	сменить				
s.	surm	surm	смерть				
s.	kandatez	kandatez ~ kandas’ (IL)	сметана				
v.	ruohtida	ruohta	сметь				
s.	nagr	nagr ~ nagro (IL)	смех		nagr kuol’endaha saa	умора	
v.	nagrattada	nagratada	смешить				
adv.	kumm	kumm	смешно				
a.	hill’aine	hil’l’a/an’e, -ažen, -št	смирный				
s.	terv	t'erv	смола				
a.	tervaine	t’erva/an’e, -ažen, -št	смолистый				
v.	tervata	t’ervata	смолить				
v.	vaikastuda	vaikastuda	смолкать				
v.	niištada	n'išta	сморкать		n'išta n’ena	сморкаться	
s.	smorodin	smorod’in	смородина				
a. yhd.	mustverine	must/ver’iin’e	смуглый				
v.	pesta	pesta	смывать				
v.	elgeta	el’geta	смыслить				
a.	elgendaj	el’gendaj	смыслённый				
adv.	ezmai	ezmaa	сначала				
s.	lumi	lumi	снег				
s.	lumud	lumutt	снежинка				
a.	lumehine	lumehi/in’e, -ižen, -št	снежный				
s.	lumud	lumut	снежок				
v.	puoleta	puol’eta	снижать				
adv.	alahanpiä	alaham/piä	снизу				
v.	heittada	heitta	снимать				
s.	uni	un’i	сон, сновидение		n’ähta un’iiš	сниться	
adv.	müöste	möst	снова				
s.	snuap	snuap	сноп				
s.	nevesk	n’evesk	сноха				
s.	koir	koir	собака				
s.	koiran-	koiran-	собачий				
v.	kerata	kerata	собирать				
s.	kerag	kerag	собрание				
v.	kerduda	kerduda	собраться				
s.	diel	d’ielo	событие				
adv.	ihan	ihan	совершенно				
adv.	huiged	huiged	совестно				
s.	sovest’	sovest’	совесть				
adv.	ühtes	ühtes	совместно				
s.	souhoz	sofhoz	совхоз				
v.	lämbittada	l’ämmitada	согревать				
v.	pidada	pidada	содержать				
v.	elgeta	el’geta	сознавать				
a.	küps’	küps’	созревший				
s.	kucund	kucund	созыв				
v.	kuccuda	kucta	созывать				
v.	väheta	väheta	сократить				
v.	kielastada	kielastada	солгать				
s.	saldat	soldat	солдат				
s.	suoland	suoland	соление				
a.	suolaine	suola/an’e, -ažen, -št	солёный				
v.	suolata	suolata	солить				
s.	päiväine	päivään’e	солнце				
s.	olg	oug	солома				
a.	olgehine	ougehi/in’e, -ižen, -št	соломенный				
s.	solonk	solonk	солонка				
s.	suol	suol	соль				
s.	uni	un’i	сон				
a.	unikaz	un’ikaz	сонный				
a.	unikaz	un’ikaz	сонливый				
adv.	ühtes	ühtes	сообща				
s.	viest'	viest'	сообщение				
s.	mägi	mägi	сопка				
s. yhd.	reganena	rega/n’ena	сопливый				
s.	hein	hein’	трава		paha hein’	сорняк	
num.	nell’kümment	n’el’/küment	сорок				
s.	harag	harak (IL)	сорока				
s.	räččin	r’äččin	сорочка				
v.	imeda	imeda	сосать				
s.	sused	sus’ed	сосед	naapuri			
s.	nänn’	n’än’n’	соска	tutti			
s.	hong	hong	сосна				
s.	hongik	hongik	сосняк				
s. dem.	hongaine	honga/an’e, -ažen, -št	сосенка	pieni honka			
s. dem.	nänniine	n’än’n’i/in’e, -ižen, -št	сосок	nänni			
v.	vahneta	vahn’eta	состариться				
s.	astij	ast’ij	сосуд				
s.	sada	sada	сотня				
s.	adr	adr	соха				
a.	hirv	hir’v	сохатый				
v.	vard’oita	vard’uuta	сохранить				
s.	socializm	social’izm	социализм				
a.	mehev	mehev	сочный				
v.	langeta	langeta	спадать				
a.	magad	magad	спальный				
s.	piäzünd	piäzund	спасение				
konj.	spassibo	spas’s’ibo	спасибо				
v.	spassida	spas’ta	спасти				
v.	magata	magata	спать				
a.	küps’	küps’	спелый				
adv.	ezmaižiks	ezmaažiikš	сперва				
adv.	edespiä	edes/piä	спереди				
v.	kiirehtada	kiirehtada	спешить				
s.	kiireh	kiireh	спешка				
v.	pilida	pil’ida	спилить				
s.	selg	s’el’g	спина				
s.	spisk	spisk	список				
s.	spičk	spičk	спичка				
v.	huuhtaita	huhtaata	сполоснуть				
adv.	oigedal	oiktal	справа				
s.	spruafk	spruafk	справка				
v.	tiedustada	t’iedustada	справляться				
v.	küzelta	küz’el’ta	спрашивать				
s.	küzünd	küz’ünd	спрос				
v.	pölgätelta	pöl’gätel’da	спугивать				
adv.	kieral	kierdal	сразу				
s.	huigaita	huigaata	срамить				
s. yhd.	kolmanpäiv	koumam/päiv	среда				
a.	keskimaine	keskima/an’e, -ažen, -št (IL)	средний				
v.	leikata	l’eikata	срезать				
s.	aig	aig	срок				
adv.	sročno	sročno	срочно				
v.	panda	panda	ставить				
s.	arttel’	art’el’	стадо				
s.	stokan	stokan	стакан				
a.	vahnaine	vahna/an’e, -ažen, -št	стпренький				
v.	vahneta	vahn’eta	стареть				
s.	starik	star’ikk	старик				
s.	vahnuz	vahnuz	старость				
a.	vahnemb	vahn’emb	старший				
a.	vahn	vahn	старый				
s.	stökkol	st’okkol	стекло				
s.	stelk	st’el’k	стелька				
a.	tiineh	t’iin’eh	стельная; беременная (о животных),  жеребая (KTK)	tiine, kantava (eläimestä)	t’iin’eh hebo (KTK)	жеребая кобыла 	tiine tamma
	tiineh				t’iin’eh l’ehm (KTK)	стельная корова 	tiine lehmä
v.	pimeta	pimeta	стемнеть				
s.	sein	s’ein’	стена				
v.	vard’oita	(Pal) vard’uuda	стеречь				
s. yhd.	sobidenpezend	sobiim/pezend	стирка				
v.	hilleta	hil’l’eta	стихать				
s.	runo	runo	стихотворение				
v.	levittada	l’evitada	стилать				
num.	sada	sada	сто				
s.	suov	suov	стог				
s.	arv	arv	стоимость				
s.	stola	stola	стол				
s.	pacaz	paccaz	столб				
a. yhd.	sadavuozine	sada/vuoz’iin’e	столетний				
s.	stol’ič	stol’icc	столица				
a.	stolovij	stolovij	столовая				
v.	voivottada	voivotada	стонать				
s. yhd.	d’alganpohd’	d’augam/pohd’	стопа				
s.	vard’oiččij	vard’uučij	сторож				
v.	vard’oita	(Pal) vard’uuda	сторожить				
s.	seižund	s’eižund	стоянка				
v.	seišta	s’eišta	стоять				
v.	muokitakse	muokitakse	страдать				
s.	vard’oiččijad	vard’uučijad	стража				
s.	rand	rand	страна				
s.	mua	mua	страна				
s.	struast’	struast’	страсть				
v.	pölgättada	(Pal) pel’gätada	страшить				
v.	varaita	varaata	страшиться				
s.	ambuj	ambuj	стрелок				
s.	ambund	ambund	стрельба				
v.	ambuda	ampta	стрелять				
s.	keričend	ker’ičend	стрижка				
v.	kerita	ker’ita	стричь				
v.	struugaita	struugaata	строгать				
a.	strogij	strogij	строгий				
a.	korged	korged	стройный				
s.	stročk	stročk	строчка				
v.	pölgästuda	(Pal) pel’gästuda	струсить				
v.	paštada	pašta	стряпать				
v.	pudištada	pudištada	стряхивать				
s.	vilu	vilu	стужа				
s.	klokutand	klokutand	стук				
v. refl.	kolottidakse	kolot’idakse	стучаться				
s.	huiged	huiged	стыд				
v.	huigaita	huigaata	стыдить				
s.	suobat 	suobat 	суббота				
s.	suud	suud	суд				
v.	suudida	suutta	судить				
v. refl.	suudidakse	suuttakse	судиться				
s.	oza	oza	судьба				
s.	sudd’	sud’d’	судья				
s.	oks	oks	сук				
s. yhd.	emäkoir	emä/koir	сука				
v.	uskaita	uskaata	сулить				
s.	hämär	hämär	сумерки				
s.	šalg	šaug	сумка				
s.	sumk	sumk	сумка				
s.	pimed	pimed	сумрак				
s.	sundug	sunduk	сундук				
s.	suup	suupp (IL)	суп				
s.	mužik	mužik	супруг				
s.	akk	akk	супруга				
s.	nivel	n’ivel’	сустав				
s.	päiv-da-üö	päiv-da-üö	сутки				
s.	suutkad	suutkad	сутки				
v.	gurbištuda	gurbištuda	сутулиться				
a.	kuiv	kuiv	сухой				
a.	kuiv	kuiv	сухо				
a.	kuiv	kuiv	сухой		kuiv puu	сухостой	
a.	laih	laih	сухощавый				
s. dem.	oksaine	oksa/an’e, -ažen, -št	сучок				
a.	kuiv	kuiv	сушёный				
v.	kuivattada	kuivatada	сушить				
v.	eläda	el’äda	существовать				
v.	kävüda	kävüda ~ (Pal) kävida	сходить				
a.	ozakaz	ozakaz	счастливый				
s.	oza	oza	счастье				
s.	lugemine	lugemi/in’e, -ižen, -št	счёт				
v.	čotaida	čotaada	считать				
v.	ombelta	ombel’ta	сшивать				
v.	süödä	s’üöda	съедать				
a.	süödäv	s’üödab	съедобный				
s.	zivorotk	z’ivorotk	сыворотка				
s.	poig	poig	сын				
s.	poigaine	poiga/an’e, -ažen, -št	сынок				
adv.	märg	märg	сыро				
a.	märg	märg	сырой				
adv.	külläl	kül’l’äl	сытно				
adv.	tänne	(Pal) t’änne	сюда				
a.	pahalaine	pahala/an’e, -ažen, -št	сякой				
s.	sel’otk	s’el’otk	селёдка				
s.	seld’	s’el’d’	сельдь				
s.	selsovet	s’el’sovet	сельсовет				
s.	siemened	s’iemn’ed	семена				
s.	semestr	s’emestr	семестр				
s.	seminar	s’eminar	семинар				
s.	sensacij	s’ensacij	сенсация				
s.	serviz	s’erviz	сервиз				
s.	seržant	s’eržant	сержант				
s.	serij	s’er’ij	серия				
s.	sessij	s’es’s’ij	сессия				
s.	sigark	s’igark	сигара				
s.	sigaret	s’igar’et	сигарета				
s.	signal	s’ignal	сигнал				
s.	sintetik	s’intet’ik	синтетика				
s.	siren’	s’iren’	стрень				
s.	situacij	s’ituacij	ситуация				
s.	skafandr	skafandr	скафандр				
s.	skvažin	skvažin	скважина				
s.	skopk	skopk	скобка				
s.	skripk	skr’ipk	скрипка				
s.	slaid	slaid	слайд				
s.	sliva	sl’iva	слива				
s.	slitk	sl’itk	слиток				
s.	slona	slona	слон				
s.	smičk	smičk	смычок				
s.	snaiper	snaiper	снайпер				
s.	üksinpajataj	üks’iim/pajattaj	солист				
s.	sopernik	sopern’ik	соперник				
s.	sočinenij	sočin’en’ij	сочинение				
s.	stadion	stad’ion	стадион				
s.	straža	straža	страж				
s.	staršin	staršina	старшина				
s.	statuj	statuj	статуя				
s.	stiil’	st’il’	стиль				
s.	stimul	st’imul	стимул				
s.	stependij	st’epend’ij	стипендия				
s.	student	stud’ent	студент				
s.	studij	stud’ij	студия				
s.	stikofk	stikofk	стыковка				
s.	supsidij	sups’id’ij	субсидия				
s.	suvenir	suven’ir	сувенип				
s.	sjomk	sjomk	съёмка				
s.	süžet	s’užet	сюжет				
s.	sürpriz	s’urpr’is	сюрприз				
s.	tabak	tabak	табак				
s.	tabletk	tabl’etk	таблетка				
s.	tablič	tabl’ic	таблица				
s.	tablo	tablo	табло				
s.	tubaretk	tubar’etk	табуретка				
s.	tadžik	tadžik	таджик				
s.	čigananarttel’	čiganan/art’el’	табор				
s.	čiganoidenarttel’	čiganuun/art’el’	табор				
s.	t’aganad	t’aganad	таган				
s.	tuaz	tuaz	таз				
v.	peittada	peitta	таить				
adv.	peitoiči	peituuči	тайком				
s.	peit	peitt (IL)	тайна				
s.	peitsija	peit/s’ija	тайник				
adv.	peitoiči	peituuči	тайно				
s.	taim	taim	тайм				
s.	muga	muga	так				
s.	mugažo	mugažo	также				
s.	takso	taks’i	такси				
s.	taks	taksa	такса				
s.	taksofon	taksofon	таксофон				
s.	takt	takt	такт				
s.	taktik	takt’ik	тактика				
s.	taktičnij	takt’ičnij	тактичный				
s.	talant	talant	талант				
s.	nero	n’ero	талант				
a.	nerokaz	n’erokaz	талантливый				
a.	sula	sula	талый				
s.	talon	talon	талон				
adv.	siga	s’iga	там				
s.	tambur	tambur	тамбур				
s.	tamožan-	tamožan-	таможенный				
s.	tanc	tanc	танец				
v.	tancuida	tancuida	танцевать				
s.	tapkad	tapkad	тапки				
s.	torelk	tor’elk	тарелка				
s.	torokan	torokan	таракан				
v.	mölgištada	möl’gištada	таращить				
s.	tarif	tar’if	тариф				
v.	kanta	kanta	тащить				
v. refl.	kantakse	kantakse	тащиться				
s.	sulamine	sulami/in’e, -ižen, -št	таяние				
v.	koveta	koveta	твердеть				
a.	kova	kova	твердый				
s.	raht	raht	творог				
s.	tiatar	t’eart	театр				
s.	tekst	t’ekst	текст				
s.	telebašn’	t’el’ebašn’	телебашня				
s.	televidenij	t’el’evid’en’ij	телевидение				
s.	televizor	t’el’evizor	телевизор				
s.	telegramm	t’el’egramm	телеграмма				
s.	telegraf	t’el’egraf	телеграф				
s.	teleg	t’el’eg	телега				
s.	vaza	vaza	теленок				
s.	lähtäm	l’ähtam ~ l'ähtäm	тёлка (Pal), нетель (Yl, Pal)				
s.	vazanliha	vazan/l’iha	телятина				
s.	teleperedač	t’el’eper’edač	телепередача				
s.	teleskop	t’el’eskop	телескоп				
s.	telestudij	t’el’e/stud’ij	телестудия				
s.	teletaip	t’el’etaip	телетайп				
s.	telefilm	t’el’e/fil’m	телефильм				
s.	telefon	t’el’efon	телефон				
s.	telecentr	t’el’e/centr	телецентр				
s.	telo	t’elo	тело				
s.	hibd’	hibd’	тело				
s.	teem	t’eema	тема				
s.	pimeta	pimeta	темнеть				
s.	pimed	pimed	темно				
s.	temp	temp	темп				
s.	temperatuur	t’emperatura	температура				
s.	teniž	ten’is	теннис				
s.	tent	tent	тент				
s.	kuvahaine	kuvaha/an’e, -ažen, -št	тень				
s.	piälagi	piä/lagi	темя				
s.	nügü	n’ügü ~ (Pal) n’ügi	теперь				
s.	lämm	l’ämm	тепло				
a.	lämm	l’ämm	теплый				
s.	teorij	t’eor’ij	теория				
s.	teplič	t’epl’ic	теплица				
s.	teplovoz	t’eplovoz	тепловоз				
s.	teplohod	t’eplohod	теплоход				
s.	terapeft	t’erapeft	терапевт				
v.	törkita	t’örkita	тереть				
s.	termin	termin	термин				
s.	termometr	t’ermometr	термометр				
s.	termos	termos	термос				
v.	muokita	muokita	терзать				
s.	törk	t’örk	терка				
a.	tirppaj	t’irpaj	терпеливый				
s.	tirpand	t’irpand	терпение				
v.	tirppada	t’irpta	терпеть				
s.	terras	t’erras	терраса				
s.	terror	t’error	террор				
v.	hajottada	häjotada	терять				
v.	vestada	vesta	тесать				
a.	ahtaz	ahtaz	тесный				
adv.	ahtaz	ahtaz	тесно				
s.	ahtahuz	ahtahuz (IL)	теснота				
s.	tahtaz	tahtaz	тесто				
s.	buat’koi	buat’kuu	тесть				
s.	app	app	тесть				
s.	tötk	t’otk	тётка				
s.	tedr’	t’edr’	тетерев				
s.	tetratk	t’etratk	тетрадь				
s.	tehnik	t’ehn’ik	техника				
s.	vuodamine	vuodami/in’e, -ižen, -št	течение				
s.	muatkoi	muatkuu	тёща				
s.	anup	anup	тёща				
s.	muda	muda	тина				
s.	tigr	t’igr	тигр				
s.	tira	t’ira	тир				
s.	tiraž	t’iraž	тираж				
s.	titul	t’itul	титул				
a.	hill’aine	hil’l’a/an’e, -ažen, -št	тихий				
adv.	hillemba	hil’l’emba	тихо				
adv.	hill’asti	hil’l’ašt’i	тихонько				
s.	materij	mat’er’ij	ткань				
a.	kudond-	kudond-	ткацкий				
s.	kudoj	kudoj	ткач				
s.	tavar	tavar	товар				
s.	tovariš	tovar’išš (IL)	товарищ				
part.	muga	muga	тоже				
s.	tokar’	tokar’	токарь				
s.	tolk	toolk (IL)	толк				
s.	pol’z	pol’z	толк				
v.	ähkida	ähkta	толкать				
v. refl.	ähkidakse	ähktakse	толкаться				
v.	pagišta	pagišta	толковать				
s.	talkkun	taukun	толокно				
v.	survoda	survda	толочь				
s.	arttel’	art’el’	толпа				
v.	sangeta	sangeta	толстеть				
a.	sanged	sanged	толстый				
part.	vai	vaa	только				
a.	hoik	hoik	тонкий				
v.	upota	uppota	тонуть				
adv.	hoikemba	hoikemba	тоньше				
v.	upottada	upotada	топить (І)				
v.	sulata	sulata	топить (ІІ)				
v.	lämbittada	l’ämmitada	топить (ІІІ)				
a.	vajottaj	vajuutaj	топкий				
s.	tonn	tonn	тонна				
s.	kirvez	kirvez	топор				
s.	suo	suo	топь				
v.	müödä	müöda	торговать				
s.	müöj	müj	торговец				
s.	müönd	müönd	торговля				
s.	pruaznik	pruazn’ik	торжество				
v.	kiirehtada	kiirehtada	торопить				
adv.	kiirehel	kiirhel	торопливо				
s.	tusk	tusk	тоска				
pron.	tuai	tuai	тот				
adv.	sriädö	sr’iädo	тотчас				
a.	tahkottu	tahkatud	точёный				
v.	tahkota	tahkata	точить				
s.	torosad	torosad	торосы				
s.	tort	tort	торт				
s.	toršer	toršer	торшер				
s.	tost	tost	тост				
v.	oksendoittada	oksenduutta	тошнить				
s.	oksenduz	oksenduz	тошнота				
a.	laih	laih	тощий				
s.	hein	hein’	трава				
s. dem.	heinäine	hein’ään’e	травка				
s.	traktor	traktor	трактор				
s.	pidand	pidand	трата				
v.	pidaita	pidaata	тратить				
a.	d’uomatoi	d’uomatuu	трезвый				
s.	hierotuz	(Pal) hiirotuz	трение				
s.	tresk	tresk	треска				
num.	kolmandž	koumand’ž	третий				
num.	kolmekümment	koume/küment	тридцать				
num.	kolmesadad	koume/sadad	триста				
v.	koskeda	kosta	трогать				
s.	kolmei	koumei	трос				
s.	stroič	stroič	троица				
s.	tropp	tropp	тропа				
s.	batog	batug (IL)	трость				
s.	truba	truba	труба				
s.	ruad	ruad	труд				
v.	ruata	ruata	трудиться				
adv.	düged	d’uged	трудно				
a.	düged	d’uged	трудный				
a.	ruadaj	ruadaj	трудящийся	työtätekevä			
s.	ruadaj	ruadaj	трудящийся	työtätekevä, työläinen			
v.	varaita	varaata	трусить				
a.	hapannu	hapanu	трухлявый				
s.	ribu	ribu	тряпка				
s.	ribud	ribud	тряпьё				
a.	upottaj	upotaj	топкий		upotaj koht	трясина	
s.	tragedij	traged’ij	трагедия				
s.	tramvai	tramvai	трамвай				
s.	tramplin	trampl’in	трамлин				
s.	transport	transport	транспорт				
s.	trapp	trap	трап				
s.	trass	trass	трасса				
s.	traur	traur	траур				
s.	trener	tr’en’er	тренер				
s.	trenirofk	tr’en’irofk	тренировка				
s.	trest	tr’est	трест				
s.	halgemuz	haugemuz	трещина				
s.	halgelmuz	haugelmuz	трещина				
s.	tribun	tr’ibun	трибуна				
s.	trio	tr’io	трио				
s.	kolmei	koumei	трио				
s.	trotuar	trotuar	тротуар				
s.	trusad	trusad	трусы				
s.	nuužnik	nuužn’ik	туалет				
s.	tundr	tundr	тундра				
s.	tunnel’	tunnel’	туннель				
adv.	kindedas	kintäs	туго				
a.	kinded	kinded	тугой				
s.	tuman	tuman	туман				
s. yhd.	laškkondij	lašk/kondij	тунеядец				
v.	tülčeta	t’ül’četa	тупеть				
a.	tülč	t’ül’č	тупой				
a.	hapannu	hapanu	тухлый				
v.	hapata	hapata	тухнуть				
s.	pilv	pil’v	туча				
a.	sanged	sanged	тучный				
v.	sambuttada	sambutada	тушить				
adv.	tarkaižesti	tarkaažest’i	тщательно				
v.	südida	s’üd’ida	тыкать				
num.	tuha	tuha	тысяча				
s.	pimed	pimed	тьма				
s.	türm	t’ür’m	тюрьма				
v.	haukkuda	haukta	тявкать				
a.	düged	d’uged	тяжёлый				
s.	turbaza	turbaza	турбаза				
s.	turbin	turbin	турбина				
s.	turk	turk	турок				
s.	tuflid	tufl’id	туфли				
s.	tušš	tuš	тушь				
s.	tikv	tikv	тыква				
s.	t’ulen’	t’ul’en’	тюлень				
v.	puoleta	puol’eta	убавить				
s.	puoletuz	puol’etuz (IL) 	убавка				
v.	puolendelta	puol’endel’da	убавлять				
v.	bajuttada	bajutada	убаюкивать				
v.	pageta	pageta	убегать				
a.	uskottav	uskotab	убедительный				
v.	uidida	uitta	убежать				
s. yhd.	peitsija	peit/s’ija	убежище				
v.	rikkoda	rikta	убивать				
s.	rikond	rikond	убийство				
s.	rikkoj	rikoj	убийца				
s.	ubork	ubork	уборка				
s.	nuužnik	nuužn’ik	уборная				
s.	uboršic	uboršic	уборщица				
v.	uberida	uber’ida	убирать				
v. refl.	uberidakse	uber’idakse	убираться				
v.	kiittada	kiitta	ублажать				
v.	uvažida	uvažida	уважать				
s. yhd.	žiivataniškend	žiivatan/iškend	убой				
s.	uvert’uur	uvert’ur	увертюра				
s.	uvažind	uvažind	уважение				
v.	ližata	l’ižata	увеличить				
a.	düged	d’uged	увесистый				
v.	satatelta	satatel’da	увечить				
s.	satanduz	satanduz (IL)	увечье				
v.	nähtä	n’ähta	увидеть				
v. refl.	nähtäkse	n’ähtakse	увидеться				
v.	näivištuda, -b, -i	n’äivištu/da, -b, -i	увядать				
v.	vajoda	vajuuda	увязнуть				
s.	kuačk	kuačk	угар				
s.	čupun-	čupun-	угловой				
v.	süveta	s’üveta	углубить				
v.	vargastada	vargastada	угнать				
v.	aleta	al’eta	угомониться				
s.	hiil’	hiil’	уголь				
v.	d’uobuda	d’uobda	угорать				
v.	poččuida	potčuida	угостить, потчевать				
v.	gostittada	gost’itada	угощать				
v. refl.	grozidakse	groz’idakse	угрожать				
a.	boikij	boikij	удалой				
v.	iškeda	iškta	ударить				
s.	iškend	iškend	ударение				
v. refl.	iškedakse	ištakse	удариться				
s.	udaač	udaač	удача				
s.	oza	oza	удел				
v.	pidaita	pidaata	удержать				
v.	huogištuda	huogištuda	подешеветь				
adv.	diiv	d’iiv	удивительно				
adv.	kumm	kumm	удивительно				
s.	suičed	suičed	удила; узда				
s.	ongbarb	ongi/barb (IL)	удилище				
s.	ongittaj	ongitaj	удильщик				
v.	pageta	pageta	удирать				
v.	ongittada	ongitada	удить				
v.	d’atkada	d’atkta	удлинять				
a.	hüvä	hüvä	удобный				
s.	höšte	höšte	удобрение				
s.	lüpsüz	l’üpsez (IL)	удой				
v.	kallištuda	kal’l’ištuda	подорожать				
s.	tütär	t'ütar	дочь		otta t’ütreks		
s.	ong	ong	удочка				
v.	uidida	uitta	удрать				
v.	duavida	duavda	удушить				
a.	üksinaine	üks’ina/an’e, -ažen, -št	уединенный				
adv.	üksin	üks’iin	уединенно				
s.	mado	mado	уж				
v.	n’uokaita	n’uokaata	ужалить				
s.	sruast’	sruast’	ужас				
adv.	d’o	d’o	уже				
adv.	kaidemb	kaidemb	уже				
v.	ildaštada	ildaštada	ужинать		rubeta ildaštamaha	приниматься за ужин	
s.	uzlaine	uzla/an’e, -ažen, -št	узелок				
a.	kaidaine	kaida/an’e, -ažen, -št	узенький				
a.	kaid	kaid	узкий, неширокий				
s. yhd.	kaidocc	kaid/occ	узколобый				
v.	tiedustada	t’iedustada	узнавать				
s.	türemšik	t’ür’emšik	узник				
s.	uzor	uzor	узор				
s.	äij	äi	уйма				
v.	lähtä	l’ähta	уходить		l’ähta irdal’e	уйти (прочь)	
s.	nevvond	n’evond (IL)	указание				
a.	ezmaine	ezma/an’e, -ažen, -št	указательный		ezmaan’e sorm	указательный палец	
s.	nevvoda	n’evoda (IL)	указание				
v.	liikuttada	l’iikutada	укачать				
v.	rikkoda	rikta	укокошить				
s.	ukol	ukol	укол				
v.	püštäda	(Pal) pišta	уколоть				
v.	lüheta	l’üheta	укоротить				
a.	lühettu	l’ühendettud (IL)	укороченный				
adv.	peitoiči	peituuči	украдкой				
v.	čomendoittada	čomenduutta	украсить				
v.	čometa	čometa	украситься				
s.	čomenduz	čomenduz	украшение				
v.	kindittada	kind’itada	укрепить				
a.	hill’	hil’l’	укромный				
v.	peittada	peitta	укрывать				
s.	peit	peit	укрытие				
v.	purda	purda	укусить				
v.	kattada	katta	укутать				
v. refl.	kattadakse	kattakse	укутаться				
v.	leta	l'eta	лететь		l’eta irdal’e	улетать	
s.	viärituz	viär’ituz	улика				
s.	igen’oi-agen’oi	igen’uu-agan’uu	улитка				
s.	verai	veraa	улица				
s.	verai-	veraa-	уличный				
v.	parata	(Pal) pareta	улучшать				
v.	muhišta	muhišta	улыбаться				
s.	muhu	muhu	улыбка				
v.	muhahtuda	muhahtuda	улыбнуться				
s.	miel’	miel’	ум				
v.	viäzüttada	viäzutada	умаять				
s.	malttaj	mautaj	умелец				
s.	nero	n’ero	умение				
v.	väheta	väheta	уменьшать				
v.	sündüttada	(Pal) s’indutada	уместить				
v.	malttada	mautta	уметь				
v.	ližata	l’ižata	умножать				
a.	mielev	miel’ev	умный				
v.	vaikastuda	vaikastuda	умолкать				
v.	pakita	pakita	умолять				
v.	viäzüttada	viäzutada	уморить				
s.	käziastij	käzest’ij (IL)	умывальник				
v.	pesta	pesta	умывать				
v. refl.	pestakse	pestakse	умываться				
adv.	naroko	naroko	умышленно				
v.	abedida	abed’ida	унижать				
v.	kielta	kiel’ta	унимать				
v.	kielta	kiel’ta	унять				
v.	langeta	langeta	упасть				
v. refl.	nojatakse	nojatakse	упереться				
a.	külläine	kül’l’ään’e	упитанный				
v.	maksada	maksta	уплатить				
v.	mainita	mainita	упоминать				
s.	tugi	tugi	упор				
a.	lämbüj	(Pal) l’ämbij	упругий				
a.	upr’amij	upr’amij	упрямый				
v.	peittada	peitta	упрятать				
s.	tuul’	tuul’	ветер		suur’ tuul’	ураган	
v.	leikata	l’eikata	урезать				
s.	urod	urod	урод				
a.	tuhm	tuhm	уродливый				
s.	urok	urok	урок				
v.	sorta	sorta	уронить				
v.	ištuttada	ištutada	усаживать				
s.	usadib	usad’b	усадьба				
v.	ištuttada	ištutada	усадить				
v. refl.	ištudakse	ištakse	усаживаться				
s.	usad	usad	усы		usiin ke	усатый	
s.	abu	abu	услуга				
v.	abuttada	abutada	услужить				
v.	kuulda	kuulda	услышать				
v.	nagrada	nagrda	усмехаться				
s.	nagr	nagr	усмешка				
v.	uinota	uinota	уснуть				
v.	huigaita	huigaata	усовестить				
v.	ehtida	ehta	успевать				
a.	hüvä	hüvä	успешный				
s.	suu	suu	уста				
s.	huuled	huul’ed	уста				
a.	viäzünd	viäzund	усталость				
a.	viäzünü	viäznu	усталый				
a.	vahnennu	vahn’enu	устарелый				
v.	viäzüda	viästa	устать				
a.	luja	luja	устойчивый				
v.	kestada	kesta	устоять				
v.	seišta	s’eišta	устоять				
v.	pölgättada	(Pal) pel’gätada	устрашать				
s.	usad	usad	усы				
v.	uinottada	uinotada	усыпить				
v.	peittada	peitta	утаить				
s.	peitand	peitand	утайка				
v.	pühkida	pühkta	утереть				
s.	kadomine	kadomi/in’e, -ižen, -št	утеря				
v.	pühkida	pühkta	утирать				
v.	hilleta	hil’l’eta	утихать				
s.	sorz	sorz	утка				
v.	viäzüda	viästa	утомить				
v.	upota	uppota	утонуть				
v.	vajoda	vajuuda	утопать				
a.	huondekselline	huomesel’i/in’e, -ižen, -št	утренний				
s.	huondez	huomez	утро				
s.	vacc	vacc	утроба, чрево				
s.	maha	maha	утроба				
adv.	huondeksel	huomesel	утром				
s.	uha	uha	уха				
s.	uhab	uhab	ухабина				
s.	haud	haud	ухабина				
s. yhd.	mielespidettav	(Pal) mieles/pidatab	ухажор				
s.	uhvat	uhvat	ухват				
s.	korv	korv	ухо				
v.	paheta	paheta	ухудшаться				
s.	učastk	učastk	участок				
s.	oza	oza	участь				
s.	učenik	učen’ik	ученик				
s.	opastund	opastund	учёба				
s.	opastund	opastund	учение				
s.	učitel’	učit’el’	учитель				
s.	opastaj	opastaj	учитель				
v.	uččida	učta	учить				
a.	korvoi	korvuu	ушат				
s.	satatuz	satatuz	ушиб				
v.	satattada	satatada	ушибить				
a.	kaidemb	kaidemb	более узкий		ombel’ta kaidembaks	ушить	
s.	pera	pera	ушко				
v.	näpištada	n’äpištada	ущипнуть				
s.	ukrop	ukrop	укроп				
s.	uksus	uksus	уксус				
s.	univermag	un’ivermag	универмаг				
s.	universtet	univers’it’et	университет				
s.	urn	urn	урна				
s.	ut’ug	ut’ug	утюг				
s.	učebnik	učebn’ik	учебник				
s.	ušerb	ušerb	ущерб				
s.	fabrik	fabr’ik	фабрика				
s.	fuaz	faza	фаза				
s.	fakel	fakel	факел				
s.	fakt	fakt	факт				
s.	tozi	toz’i	факт				
s.	faktor	faktor	фактор				
s.	fakultet	fakul’t’et	факультет				
s.	falšifk	fal’šifk	фалшивка				
s.	familij	famil’ij	фамилия				
s.	faner	fan’er	фанера				
