hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1||||||||||
polovik|polovikke (LMS 326)|s.|половиккэ|половик|matto|||||||||||||||
poluččida||v.||||polučin (LMS 327)|получин|получаю|saan|||||||||||
polud|polude|s.|полудэ|полуда|tinaus|||||||||||||||
polv|polvi (LMS 327)|s.|польви|колено|polvi|||||||||||||||
pordahad|pordahat (LMS 328)|s. mon.|пордагат|лестница, крыльцо|portaat, ulkoportaat|||||||||||||||
pordimoi|pordimoi (LMS 328)|s.|пордимой|горностай|kärppä|||||||||||||||
poroh|porohe (LMS 328)|s.|порохэ|порох|ruuti|||||||||||||||
postel'|posteli (LMS 329)|s.|постели|постель|vuode|||||||||||||||
postel'nik|postel'nikke (LMS 329)|s.|постельниккэ|постельник|lakana|||||||||||||||
poteh|poteh|s.|потех|потеха|huvi|||||||||||||||
povi|povi (LMS 330)|s.|пови|пазуха|povi|poveh|повэ|в пазуху|poveen|||||||||||
priimida||v.||||priimin (LMS 332)|примин|принимаю|otan vastaan|||||||||||
prikaz|prikaz (LMS 331)|s.|приказ|приказ|käsky|||||||||||||||
priänik|pränikke (LMS 334)|s.|пряниккэ|пряник|piparkakku|||||||||||||||
proklenida||v.||||proklenin (LMS 333)|прокленин|проклинаю|kiroan|||||||||||
prosto|prosto|adv.|просто|просто|yksinkertaisesti|||||||||||||||
prostuud|prostude|s.|простудэ|простуда|vilutauti|||||||||||||||
präšk|präške (LMS 335)|s.|пряжкэ|пряжка|nappi|||||||||||||||
puaks|puaksu, -n, -d|a.||частый|tiheä, taaja|puaksut|пуаксут|частые|tiheät|||||||||||
puaksus|puaksuh (LMS 335)|adv.|пуаксу|часто|usein|||||||||||||||
pualmovoi|pual'movoi|a.|пуальмовой|пальмовый|palmu-|pual'movoi tuohus|пуальмовой туохус|пальмовая свеча|palmukynttilä|||||||||||
puar|puare|s.|пуара|пара|pari|||||||||||||||
puarm|puarme (LMS 336)|s.|пуармэ|овод; таракан|paarma|||||||||||||||
puatok|puatoke (LMS 336)|s.|пуатокэ|патока|siirappi|||||||||||||||
puaz|puazu|s.|пуазу|паз|rako|||||||||||||||
pučiine|pučiine (LMS 25)|s. dem.|пучийнэ|боченок|pieni tynnyri|||||||||||||||
pudištada||v.||||pudištan (LMS 336)|пудиштан|трясу|pudistan|||||||||||
puhalduz|puhaldus|s.|пугалдус|опухоль|turvottuma|||||||||||||||
puhkoda||v.||||puhkon|пухкон|чищу (рыбу)|peraan|||||||||||
puhuda||v.||||puhun (LMS 337)|пугун|дую, сдуваю|puhallan, puhaltelen|||||||||||
puik||s.||||puikko mäni|пуйко мяни|заноза (спичка) попала||||||||||||
pulk|bul'ke (LMS 23)|s.|булькэ|пуля|luoti|||||||||||||||
punalduz|punaldus (LMS 338)|s.|пуналдус|поворот|käännös|||||||||||||||
punoda||v.||||punon (LMS 339)|пунон|плету (веревку)|punon|||||||||||
puraz|puras (LMS 340)|s.|пурас|пешня|tuura|||||||||||||||
pušk|puške|s.|пушкэ|пушка|tykki|||||||||||||||
puskeda||v.||||pusken (LMS 341)|пускэн|бодаю|pusken|||||||||||
puuh|puuhe|s.|пухэ|пух|untuva|||||||||||||||
puuttuda||v.||||hüvin puuttuu|гювин пуутуу|хорошо попадает (клев)||||||||||||
puzerta||v.||||puzerd'in (LMS 341)|пузэрдин|я выжал|puristin, pusertin|||||||||||
pühkida||v.||||pühkin (LMS 343)|пюхкинъ|мету|pyhkin|||||||||||
pühkidakse||v. refl.||||pühkimös|пюхтимёс|утираюсь|pyyhkin|||||||||||
pühäpäiv|pühä/päi (LMS 343)|s. yhd.|пюгя-пяй|воскресенье|sunnuntai|||||||||||||||
püü|püü, -n, -d (LMS 344)|s.|пюу|рябчик|pyy|||||||||||||||
püörüž|püörü/š, -žän (LMS 345)|a.|пюёрюшь|круглый; кружок|pyöreä|püörüžäd loukod (LMS 345)||круглые отверстия|pyöreät reiat|||||||||||
päčč|päčči (LMS 347)|s.|пяччи|печка|uuni|||||||||||||||
päččlaud|päčči/laude|s. yhd.|пяччи лаудэ|заслонка в печи|suupelti, uuninluukku|||||||||||||||
päčnik|päčnikke|s.|пячниккэ|печник|uunintekijä, uunimuurari|||||||||||||||
päged|päged (LMS 346)|s.|пягед|подъем|nosto|||||||||||||||
päiv|päive (LMS 366)|s.|пяйвэ|день|päivä|||||||||||||||
päivpašt|päi/pasto (LMS 316) ~ -pašto|s. yhd.|пяй-пашту|солнце|päivänpaisto|päipašton nouzendе|пяй-паштон ноузэндэ|auringonnousu||||||||||||
päivpašt||s. yhd.||||päipašton laskende|пяй-паштoн ласкендэ|auringonlasku||||||||||||
päiväl|päiväl|adv.|пяйвял|днём|päivällä|||||||||||||||
päivänlasktuul'|päivän/lasku/tuuli|s. yhd.|пяйвянласку туули|западный ветер|länsituuli|||||||||||||||
päivännouztuul'|päivän/nouzu/tuuli|s. yhd.|пявянноузу туули|восточный ветер|itätuuli|||||||||||||||
pölgättada||v.||||pel'gätan|пэльгятан|пугаю|pelästytän|||||||||||
pölgättada||v.||||pel'gätin|пэльгатин|я напугал|pelästytin|||||||||||
pölü|pölü (LMS 348)|s.|пёлю|пыль|pöly|||||||||||||||
pölüžittada||v.||||pölüžitan|пёлюжитан|пылю|pölytän|||||||||||
raba|raba (LMS 349)|s.|раба|гуща (напр., квасная)|sakka|||||||||||||||
ragiž|ragiš (LMS 349)|s.|рагиш|град|rakeet, raesade|||||||||||||||
rahnoda|rahnoda (LMS 350)|v.||жать|leikata sirpillä|rahnon (LMS 350)|рагнон|жну|leikkaan sirpillä|||||||||||
raht|ruahto (LMS 366)|s.|руахто|творог||||||||||||||||
rahvaz|rahvas (LMS 350)|s.|рагвас|народ; люди||||||||||||||||
ramb|rambe (LMS 351)|s.|рамбэ|хромой||||||||||||||||
rambita||v.||||rambičen (LMS 351)|рамбичэн|хромаю|onnun|||||||||||
ramk|ramke (LMS 351)|s.|рамкэ|рамка||puitteet||||||||||||||
rand|rande (LMS 351)|s.|рандэ|берег||ranta||||||||||||||
rassal'|rassali (LMS 363)|s.|рaссали|рассол||hera, liemi||||||||||||||
rataz|ratas (LMS 352)|s.|ратас|колесо||pyörä, ratas||||||||||||||
raud|raude (LMS 352)|s.|раудэ|железо||rauta||||||||||||||
razv|razve (LMS 352)|s.|развэ|жир, сало||rasva||||||||||||||
razvaduda||v.||||razvavun (LMS 352)|развавун|жирею|rasvoitun|||||||||||
razvahine|razvahine|a.|развахинэ|сальный||razvahine tuohus|развахинэ туохус|сальная свеча|rasvainen tuohus|||||||||||
razvaine|razvaine (LMS 352)|a.|развайнэ|жирный|rasvainen|||||||||||||||
rebita||v.||||rebidan|рэбидан|сильно реву|itken kovin|||||||||||
rebittada||v.||||rebitan (LMS 353)|рэбитан|рву|repeän|||||||||||
reboi|rebuoi (LMS 353)|s.|рэбуой|лиса|kettu|||||||||||||||
redustada||v.||||redustan (LMS 354)|рэдустан|мараю||||||||||||
regi|regi (LMS 354)|s.|реги|воз|reki|||||||||||||||
reguč|reguččе (LMS 354)|s.|рэгучче|салазки, дровёшки|työreki, kuorma|||||||||||||||
remen’|remeni (LMS 354)|s.|ремени|чересседельник|vyö, nahkahihna|||||||||||||||
ribu|ribu (LMS 355)|s.|рибу|тряпка|rätti|||||||||||||||
rieht|rehto (LMS 355)|s.|рэхто|прясло|seiväsväli|||||||||||||||
riehtil|riehtil (LMS 355)|s.|риэхтилъ|сковорода|pannu|||||||||||||||
riepoi|riepuoi (LMS 356)|s.|риэпуой|репница (репа)|nauriskalja|||||||||||||||
riibalm||s.||||riibalmal|рийбалмал|царапина|naarmu|||||||||||
riidelta||v.||||riidelen (LMS 360)|рийдэлэн|спорю|riitelen|||||||||||
riiz|riizu (LMS 361)|s.|ризу|риза|kuivat puunoksat|||||||||||||||
rikkoda||v.||||rikon (LMS 356)|рикон|убиваю|tapan|||||||||||
riputtada||v.||||riputan|рипутан|вешаю|ripustan|||||||||||
riss|ris|s.|рисъ|рис|riisi|||||||||||||||
rist|riste (LMS 358)|s.|ристэ|крест|risti|||||||||||||||
ristemä|rist'imä (LMS 358)|s.|ристимя|крестная|kummi, naiskummi, kummitäti|||||||||||||||
ristiža|rist'/ižä (LMS 358)|s. yhd.|ристижя|крестный|kummi, mieskummi, kummisetä |||||||||||||||
ristrihm|rist/rihme (LMS 359)|s. yhd.|рист-ригмэ|гойтан, шнурок у креста|nauha, nyöri|||||||||||||||сковородник
riäd|riädu|s.|рияду|ряд|rivi|||||||||||||||
riähk|riähke (LMS 56)|s.|рияхки|грех|räähkä, synti|||||||||||||||
riähkäduda||v.||||riähkävün|рияхкявюн|грешу|teen syntiä|||||||||||
riäpöi|riäpüöi (LMS 360)|s.|ряпюой|ряпушка|muikku|||||||||||||||
roditel'ad|roditel'ad (LMS 362)|s. yhd.|родителят|родители|vanhemmat|||||||||||||||
rodu|rodu (LMS 362)|s.|роду|порода|rotu|||||||||||||||
rokk|rok/ke, -an, -kad (LMS 363)|s.|роккэ|суп, уха|keitto|rokkad (LMS 363)|роккат|щи|kaalikeitto|||||||||||
rokko|rokko (LMS 363)|s.|рокко|мозоль|känsä|||||||||||||||
roskaine|roskaine (LMS 363)|s.|роскайнэ|росток|itu|||||||||||||||
rott II|rotte|s.|ротэ|рота|komppania|||||||||||||||
roža|roža (LMS 364)|s.|рожа|рожа|kasvot, naama|||||||||||||||
ruad|ruado (LMS 365)|s.|руадо|работа|työ|||||||||||||||
ruadi|ruadi (LMS 366)|a. taipum.|руади|рад|iloinen|||||||||||||||
ruam|ruame|s.|руамэ|рама|kehys|||||||||||||||
ruan|ruane (LMS 366)|s.|руанэ|рана, язва|haava|||||||||||||||
ruata|ruata  (LMS 366)|v.||работать|tylskennellä, tehdä|ruadan (LMS 366)|руадан|тружусь, делаю|työskentelen, teen|||||||||||
ruata||v.||||seppe ruadau|сэппэ руадау|кузнец работает|seppä työskentelee|||||||||||
ručk|ručke (LMS 370)|s.|ручкэ|ручка|kädensija|||||||||||||||
ruda|ruda (LMS 367)|s.|руда|руда|malmi|||||||||||||||
rugiž|rugiš (LMS 367)|s.|ругишь|рожь|ruis|||||||||||||||
rupid|rupit (LMS 369)|s. mon.|рупит|морщины|rypyt|||||||||||||||
ruppi|ruppi (LMS 369)|s.|руппи|морщина|ryppy|||||||||||||||
ruumen|ruumen (LMS 370)|s.|румэнъ|мякина||||||||||||||||
rügida||v.||||rügin (LMS 370)|рюгин|кашляю|yskin|||||||||||
rügind|rüginde (LMS 370)|s.|рюгиндэ|кашель|yskä|||||||||||||||
ründäz|ründäz (K. 371)|s.|рюндяс|грудь|rinta|||||||||||||||
rädžäittada||v.||||räžäitan (LMS 371)|ряжайтан|скриплю (зубами)|rähisen|||||||||||
räkk|räkki (LMS 371)|s.|рякки|жар, зной|kuumuus|||||||||||||||
räkk|räkki (LMS 371)|adv.|рякки|жарко|kuumaa|||||||||||||||
rängüda||v.||||älä rängü|аля рянгю|не реви!, не кричи!|älä huuda!|||||||||||
rängüda||v.||||rängün (LMS 372)|ряньгюн|реву, кричу|huudan|||||||||||
röhkäda||v.||||röhkän (LMS 372)|рёхкян|хрюкаю|röhkin|||||||||||
rötk|ret'ke (LMS 372)|s.|редькэ|редька|retikka|||||||||||||||
rэbin|räbin (LMS 371)|s.|рябинъ|рябина|pihlaja|||||||||||||||
sabilahad|sabilahat (LMS 373)|s. mon.|саба-лагат|носилки (для сена)|paarit|||||||||||||||
sadu|sadu (LMS 373)|s.|саду|сад|puutarha|||||||||||||||
sagarm|sagarvo, -n, -d (LMS 373)|s.|сагарво|выдра|saukko|sagarvod (LMS 373)||выдры|saukot|||||||||||
said|saide (LMS 374)|s.|сайдэ|сайда|turkan sukuinen merikala|||||||||||||||
šaik|šaikke (LMS 374)|s.|шайкэ|шайка|kiulu|||||||||||||||
salat'|salat't'i (LMS 374)|s.|салатти|верховодка (RKS), салага|salakka|||||||||||||||
sambuda||v.||||sammuu|саммуу|гаснет|sammuu|||||||||||
sambuttada||v.||||sammutan|саммутан|гашу|sammutan|||||||||||
samvar|samovar (LMS 375)|s.|самовар|самовар|teekeitin, samovari|||||||||||||||
sana|sana (LMS 376)|s.|сана|слово|sana|||||||||||||||
sanuda||v.||||sanon kümmene kierad|санон кюмэнэ кирят|твержу, говорю десять раз|sanon kymmenen kertaa|||||||||||
sapp|sappi (LMS 377)|s.|саппи|железа (у рыб)|rauhanen|||||||||||||||
sarahein|sora/heine|s. yhd.|сора гэйнэ|осока|navetan parvi|||||||||||||||
sarai|sarai (LMS 377)|s.|сарай|сарай|kävelykeppi|||||||||||||||
savak|savakko (LMS 378)|s.|савакко|клюка, палка|keppi|||||||||||||||
savi|savi (LMS 378)|s.|сави|глина|savi|||||||||||||||
savu|savu (LMS 379)|s.|саву|дым|savu|||||||||||||||
savuta||v.||||savudan|савудан|дымлю|savuan|||||||||||
se|se (LMS 379)|pron.|сэ|тот|se|||||||||||||||
segoitettu||a.||||segoitettu tahtas|сэгойтэтту тахтас|опара|taikinan juuri|||||||||||
seibaz|seibäs (LMS 380)|s.|сейбяз|аншпуг|koskikanki|||||||||||||||
sein|seine (LMS 380)|s.|cэйнэ|стена|seinä|||||||||||||||
seižuda||v.||||seižon (LMS 380)|сэйжон|стою|seison|||||||||||
seld'|sel'dit|s. mon.|сельдит|сельди|sillit|||||||||||||||
selgittada||v.||||selgitän (LMS 382)|сэльгитян|одеваю|puen|||||||||||
sepp|sep/pe, -än (LMS 383)|s.|сэппэ руадау|кузнец работает|seppä|seppe ruadau|сэппэ руадау|кузнец работает|seppä työskentelee|||||||||||
sestroi|sestruoi ~ sesruoi (LMS 383)|s.|сэструой|смородина|herukka|||||||||||||||
siemen|siemen (LMS 384)|s.|сиэмэнъ|семя|siemen|||||||||||||||
sien'|siened (LMS 385)|s. mon.|сиэнэт|рыжики (грибы)|sienet|||||||||||||||
siig|siige (LMS 390)|s.|cигэ|сиг|siika|||||||||||||||
siir|siiru (LMS 391)|s.|сыру|сыр|juusto|||||||||||||||
siirdelta||v. frekv.||||sirdelen|сирдэлэн|двигаю|siirtelen|||||||||||
siirtakse||v. refl.||||sirte|сиртэ|подвинься|siirry|||||||||||
siit|siit/te ~ žiit/te, -an, -tad (LMS 391)|s.|сийтэ|сито|seula|||||||||||||||
šiižm|šiižme (LMS 391)|s.|шижмэ|||||||||||||||||
sija|sija, -n, -d (LMS 386)|s.|||sija, paikka, kohta|toižeh sijah ajan|тойжэх сиях аян|переезжаю в другое место|muutan toiseen paikkaan|||||||||||
sild|silde (LMS 387)|s.|силдэ|мост|silta|||||||||||||||
siled|siled|a.|силэтъ|гладкий|sileä|||||||||||||||
siled|siled|adv.|силэтъ|гладко|sileää|||||||||||||||
silittada||v.||||silitän (LMS 387)|силитян|глажу|silitän|||||||||||
silm|silme (LMS 387)|s.|сильмэ|глаз|silmä|||||||||||||||
sina|sinä (LMS 388)|pron.|синя|ты|sinä|sinun (LMS 388)|синун|твой|sinun|||||||||||
šina|šine (LMS 388)|s.|шинэ|шина|rengas|||||||||||||||
sinčoi|senčuoi|s.|сенчуой|сени|eteinen|||||||||||||||
sinine|sinine (LMS 388)|a.|сининэ|синий|sininen|||||||||||||||
sin'k|sin'ke|s.|синькэ|синька|siniväri|||||||||||||||
širm|širme|s.|ширмэ|ширма|seinäke|||||||||||||||
sitt|šitte (LMS 389) ~ šittu|s.|шиттэ ~ шитту|кал; грязь|uloste, paska|vieras šitte|виэрас шиттэ|чесотка (чужая грязь)|vieras lika|||||||||||
sizar|sizar (LMS 389)|s.|сизар|сестра|sisar|||||||||||||||
šiželik|šiželihhe (RKS) ~ šiželihk/ö, -ön, -öd (LMS 389)|s.|шижэлиххэ|ящерица|sisilisko|||||||||||||||
šiäjida||v.||||šiäjiu|шяиу|сияет|loistaa|||||||||||
šleja|šleja (LMS 392)|s.|шлея|шлея|mäkivyöt|||||||||||||||
slifkad|slifkad (LMS 392)|s. mon.|сливкат|сливки|kerma|||||||||||||||
šliäp|šliäppe (LMS 393)|s.|шлияпэ|шляпа|hattu|||||||||||||||
sluav|sluave (LMS 393)|s.|слуавэ|молва|kuulo- , huhupuheet, huhut|||||||||||||||
šl'ukkada||v.||||šl'ukan (LMS 393)|шлюкан|икаю|nikottelen|||||||||||
soba|soba (LMS 394)|s.|соба|одежда|vaate|||||||||||||||
sockoi|sotckoi (LMS 397)|s.|сотцкой|сотский|talonpoikien valitsema maalaispoliisin apulainen entisaikaan|||||||||||||||
soged|soged (LMS 395)|a.|согэд|слепой|sokea|||||||||||||||
soim|soimi (LMS 395)|s.|сойми|ясли|seimi|||||||||||||||
soime|soime ~ saime(LMS 395)|s.|соймэ|сойма|iso vene|||||||||||||||
sokk|sokke (LMS 395)|s.|соккэ|сок|mehu|||||||||||||||
šokk|šok/ke, -an (LMS 402)|s.|шоккэ|щека|poski|||||||||||||||
sorm|sormi (LMS 396)|s.|сорми|палец|sormi|||||||||||||||
sotk|sotk/e, -an, -ad (LMS 397)|s.|соткэ|утка|sorsalintu|||||||||||||||
souta||v.||||soudan (LMS 197)|соудан|гребу|soudan|||||||||||
sovetuita||v.||||sovetuičen (LMS 397)|советуйчэн|советую|neuvon|||||||||||
spassiboita||v.||||pas's'iboičen (LMS 301)|пассибойчен|благодарю|kiitän|||||||||||
spora|spora|s.|спора|раздор|riita|||||||||||||||
stali|stali (LMS 398)|s.|стали|сталь|teräs|||||||||||||||
stamesk|stameske|s.|стамескэ|стамеска|taltta|||||||||||||||
stank|stanke|s.|станкэ|станок|työkone|||||||||||||||
stantsij|stantsij (LMS 399)|s.|станций|станция|asema|||||||||||||||
starik|starikke (LMS 399)|s.|стариккэ|старик|vanhus|||||||||||||||
staršin|staršin (LMS 399)|s.|старшин|старшина|kunnanvanhin|||||||||||||||
stearinovoi|stearinovoi|a.|стеариновой|стеариновый|steariini-|stearinovoi tuohus|стеариновой туохус|стеариновая свеча|steariinikynttilä|||||||||||
štipčad|ščipčad|s. mon.|щипчат|щипцы|pihdit, tongit, hohtimet|||||||||||||||
stokan|stokan (LMS 400)|s.|стокан|стакан|lasi|||||||||||||||
stola|stola (LMS 400)|s.|стола|стол|pöytä|||||||||||||||
stol'ar'|stol'ari (LMS 400)|s.|столяри|столяр|puuseppä|||||||||||||||
stradaita||v.||||stradaičen|страдайчэн|страдаю|kärsin|||||||||||
strannik|stran'n'ikke (LMS 400)|s.|странниккэ|странник|vaeltaja|||||||||||||||
strelk|strelke|s.|стрелкэ|стрелка|nuoli|||||||||||||||
stroju|stroju|s.|строю|постройка|rakennus|stroju ol'i|строю оли|постройка была|oli rakennus|||||||||||
struug|struuge (LMS 401)|s.|стругэ|струг|höylä|||||||||||||||
stuan|stuanu (LMS 402)|s.|стуану|шалаш|kota|||||||||||||||
stuarost|stuaroste (LMS 402)|s.|стуаростэ|староста|kylänvanhin|||||||||||||||
stukuttada||v.||||stukutan|стуйкутан|стучу|kolahdan|||||||||||
stupen'|stupenid (LMS 402)|s. mon.|ступэнит|ступени|porras, portaat|||||||||||||||
štuuk|štuukke|s.|штукэ|штука|vitsi|||||||||||||||
stuul|stuule (LMS 402)|s.|стулэ|стул|tuoli|||||||||||||||
stökkol|st'okle (LMS 400)|s.|стёклэ|стекло|lasi|st'okle mäni|стёклэ мяни|стекло попало (заноза)|sain sälin|||||||||||
štötk|ščotke|s.|щоткэ|щетка|harja|||||||||||||||
suabr|suabr/e, -an, -ad (LMS 402)|s.|суабрэ|зарод (сена)|heinäsuova, heinäpieles|||||||||||||||
suada|suada (LMS 403)|v.||ловить|saada|suan|суан|ловлю|saan|||||||||||
suahar'|zuahari|s.|захари|сахар||||||||||||||||
šuapuk|šuapke (LMS 404)|s.|шуапкэ|шапка|hattu|šuapkat piäz ielnu (OLR 139)||шапки на голове не было|hattua päässä ei ollut|||||||||||
sudd'|sud'd'/e, -an, -ad (LMS 405)|s.|судье|судья|tuomari|||||||||||||||
sudn|sudn/e, -an, -ad (LMS 405)|s.|суднэ|судно|alus|||||||||||||||
suga|suga (LMS 405)|s.|суга|гребень|kampa|||||||||||||||
sugaz|sugaz (LMS 405)|s.|сугас|щетина|sänki|||||||||||||||
sugida||v.||||sugin (LMS 405)|сугин|чешу, причесываю|kampaan|||||||||||
suičed|suičed (LMS 406)|s. mon.|суйчэд|узда|suitset|||||||||||||||
suittada||v.||||suitan (LMS 406)|суйтан|коплю|säästän|||||||||||
sukk|sukke (LMS 406)|s.|суккэ|чулок|sukka|||||||||||||||
suks'|suksi (LMS 406)|s.|сукси|лыжа|suksi|||||||||||||||
sulaim|sulaime (LMS 406)|s.|сулаймэ|полынья|railo|||||||||||||||
šulk|šulku (LMS 407)|s.|шулку|шелк|silkki|||||||||||||||
šulkuine|šulkuine (LMS 407)|a.|шулкуйнэ|шелковый|silkkinen|||||||||||||||
sumk|sumke (LMS 407)|s.|сумкэ|сумка|laukku, reppu|||||||||||||||
suml'uita||v.||||suml'uičen (LMS 407)|сумлюйчэн|сомневаюсь|epäröin|||||||||||
suo|suo (LMS 408)|s.|суо|болото|suo|||||||||||||||
suolvakk|suol/vakke (LMS 408)|s. yhd.|суол-ваккэ|солонка|suola-astia|||||||||||||||
suon'|suoni (LMS 409)|s.|суони|жила|suoni|||||||||||||||
sused|sused (LMS 410)|s.|сусед|сосед|naapuri|||||||||||||||
suu|suu (LMS 411)|s.|суу|рот|suu|suud andan|сууд андан|целуюсь|suutelen|||||||||||
suudida||v.||||suud'in (LMS 411)|судин|сужу|tuomitsen|||||||||||
suuhar'|zuuhari (LMS 406)|s.|зухари|сухарь|korppu|||||||||||||||
suurim|suur'in (LMS 411)|s.|сурин|крупа|suurima, tyyni|||||||||||||||
suvaita||v.||||suvaičen (LMS 410)|сувайчен|люблю|rakastan|||||||||||
suvituul'|suvi/tuuli|s. yhd.|суви туули|южный ветер|etelätuuli|||||||||||||||
svinč|svinče (LMS 412)|s.|свинчэ|свинец|lyijy|||||||||||||||
svit'il|svit'il (LMS 432)|s.|свитиль|светильня, фитиль|lampunsydän|||||||||||||||
svuat|svuattu (LMS 413)|s.|свуатту|сват|vävyn tai minian isä|||||||||||||||
südida|süd'idä (LMS 413)|s.||тыкать|pistää|süd'in (LMS 413)|сюдин|тычу|sysin, pistelen|||||||||||
südämes|südämes (LMS 413)|adv.|сюдямэс|внутри|sisällä|||||||||||||||
südämkera|südäin/kerä (LMS 412)|s. yhd.||сердце|sydän|||||||||||||||
südämkeraine||s. yhd.||||südäin/keräižet (LMS 412)|сюдяйн-кэряжэт|сердца, лёгкие (у животных и птиц)|eläinten ja lintujen sydämet ja keuhkot|||||||||||
südämkeraižed|südäin/keräižet (LMS 412)|s. yhd. mon.|сюдяйн-кэряжэт|почки|munuaiset|||||||||||||||
sülgeda||v.||||sülgen (LMS 416)|сюльгэн|плюю|syljen|||||||||||
süli|süli|s.|сюли|сажень|syli|||||||||||||||
Sündünmua|sündüim/mua (LMS 414)|s. yhd.|сюньдюй-муа|святки|joulukausi, aika joulusta loppiaiseen asti (25.12./6.1.–5.1./18.1.)|||||||||||||||
sürtuk|s'urtukke|s.|сюртуккэ|сюртук|frakki|||||||||||||||
süvä|süvä, -n, -d (LMS 415)|a.||глубокий|syvä|||||||||||||||
süvä|süvä, -n, -d (LMS 415)|adv.|сювя|глубоко|syvää|||||||||||||||
süvä|süvä, -n, -d (LMS 415)|s.|сювя|глубина (RKS)|syvyys|||||||||||||||
süödä||v.||||süön (LMS 415)|сюён|ем|syön|||||||||||
süömär'|süömäri (LMS 415)|s.|cюёмари|обжора|syömäri|||||||||||||||
süöttäda||v.||||süötän (LMS 415)|сюётан|кормлю|syötän|||||||||||
šäigiž|šäig/iš, -ehen, -ište (LMS 416)|s.|сяйгиш|лыко (RKS)|säie|||||||||||||||
sälg|sälgü (LMS 416)|s.|сяльгю|жеребенок|varsa|||||||||||||||
särbäda||v.||||särbän (LMS 416)|сярьбян|хлебаю|särpin|||||||||||
särg|särgi (LMS 416)|s.|сярьги|плотва|särki|||||||||||||||
särišta||v.||||särižen (LMS 416)|сярижэн|дрожу|vapisen, värisen, tärisen|||||||||||
taba|taba (LMS 422)|s.|таба|характер|tapa|||||||||||||||
tabata|tabata (LMS 422)|v.||ловить|tavoittaa|tabadan (LMS 422)|табадан|ловлю|tavoitan|||||||||||
tabata||v.||||tabažin (LMS 422)|табажин|я вылавливал|tavoitin|||||||||||
tabavoida||v.||||tabavoin|табавойн|злюсь|olen vihainen|||||||||||
taboitelta||v. frekv.||||taboittelen (LMS 423)|табадэлэн|хватаю|tavoittelen|||||||||||
tagaine|tagaine (LMS 423)|a.|тагайнэ|задний|takainen|||||||||||||||
tagaks|tagaks (LMS 424)|adv.|тагакс|назад|taakse|||||||||||||||
tagakspiä|tagaks/päi (LMS 424)|adv.||назад|taaksepäin|||||||||||||||
t'agan|tagan (LMS 423)|s.|таган|таган|pannunjalka|||||||||||||||
tagančura|tagan/čura|adv.|таган-чура|сзади|takaa|||||||||||||||
tagaraiv|taga/raivo (LMS 423)|s. yhd.|тага райво|затылок|takaraivo, niska|||||||||||||||
tahk|tahko (LMS 425)|s.|тахко|точило|tahko|||||||||||||||
tahkodaj|tahkadaj (LMS 425)|s.|тахкадай|точильщик|tahkoaja|||||||||||||||
tahtaz|tahta/s, -han (LMS 425)|s.|тахтас|тесто|tahdas, taikina|||||||||||||||
tahtoda||v.||||tahton (LMS 425)|тахтон|хочу|haluan|||||||||||
taigin|taigin, -an, -ad (LMS 426)|s.|тайгин|квашня|taikina-astia|||||||||||||||
taivaz|taivaz (LMS 426)|s.|тайвас|небо|taivas|||||||||||||||
takk|takke (LMS 426)|s.|таккэ|ноша|taakka|||||||||||||||
talv|talvi (LMS 427)|s.|тальви|зима|talvi|||||||||||||||
tapand||s.||||tapandat (LMS 427)|тапандат|убийства|tapot, murhat|||||||||||
tarboda|tarboda (LMS 427)|v.||тарбать|tarpoa|tarbon (LMS 427)|тарбон|тарбаю|tarvon|||||||||||
tartuskendelta||v. frekv.||||tartuskendelen|тартускэндэлэн|цепляюсь|tartuttelen|||||||||||
taut|talte (LMS 427)|s.|талтэ|долото|taltta|||||||||||||||
tavar|tavar (LMS 428)|s.|тавар|товар|tavara|||||||||||||||
tavar|tovarat|s. mon.|товарат|товары|tavarat|||||||||||||||
tavi|tavi (LMS 429)|s.|тави|чирок|tavi|||||||||||||||
t'aža|t'aža (LMS 428)|s.|тяжа|тяжа, тяж|ansanuora|||||||||||||||
tedr'|tedr/i ~ t'edr/i, -en, -ed (LMS 429)|s.|тэдри|тетерев, тетера,  косач|teeri|||||||||||||||
tervas|terväh|adv.|тэрвя|скоро|pian|||||||||||||||
tetrad'|tetradi|s.|тетради|тетрадь|vihko|||||||||||||||
tiesuar|tie/šuare (LMS 423)|s. yhd.||росстань (тропинка в лес с дороги)|tienhaara|||||||||||||||
tiesuaraine|tie/šuaraine (LMS 423)|s. yhd. dem.|тиешу-арайнэ|росстань (тропинка в лес с дороги)|tienhaara|||||||||||||||
tieta||v.||||en tieda (LMS 338)|эн тиэда|не знаю|en tiedä|||||||||||
tieta||v.||||tiedan (LMS 432)|тиэдан|знаю|tiedän|||||||||||
tiettavaine|tiettäväine|adv.|тиэттявяйнэ|известно|tietysti, tietenkin|||||||||||||||
tiin|tiinu (LMS 434)|s.|тыну|тын|pystyaita|||||||||||||||
tikk|t'ikku (LMS 432|s.|тикку|дятел|tikka|||||||||||||||
tina|t'ina (LMS 433)|s.|тина|олово|tina|||||||||||||||
tirppada|t'irpai (LMS 433)|v.||терпеть|kestää, kärsiä, sietää|t'irpan (LMS 433)|тирпан|терплю|kestän|||||||||||
